run_id,seed,method,logical_time_s,phase,application_demand_mbps,actual_throughput_mbps,network_capacity_mbps,physical_capacity_mbps,latency_ms,qos_satisfied,failure_detected,action_selected,activated,recovered
compound:seed=2:method=proposed,2,proposed,2.0,DEMAND_INCREASE,23.4375,23.4375,42.1875,42.1875,10.0,True,False,,False,False
compound:seed=2:method=proposed,2,proposed,4.0,NETWORK_UTILIZATION_RISE,23.4375,23.4375,25.781250000000004,42.1875,10.0,True,False,,False,False
compound:seed=2:method=proposed,2,proposed,6.0,PHYSICAL_CAPACITY_DROP,23.4375,7.5,25.781250000000004,7.5,57.8125,False,False,,False,False
compound:seed=2:method=proposed,2,proposed,8.0,ROUTE_DEGRADED,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=2:method=proposed,2,proposed,8.2,RECOVERY_DECISION,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=2:method=proposed,2,proposed,8.4,ACTIVATION_RESULT,18.75,18.75,25.781250000000004,18.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=2:method=proposed,2,proposed,8.6,STABLE_HEALTH_WINDOW,18.75,18.75,25.781250000000004,18.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=2:method=full_rebuild,2,full_rebuild,0.0,STABLE,18.75,18.75,42.1875,42.1875,10.0,True,False,,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,2.0,DEMAND_INCREASE,23.4375,23.4375,42.1875,42.1875,10.0,True,False,,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,4.0,NETWORK_UTILIZATION_RISE,23.4375,23.4375,25.781250000000004,42.1875,10.0,True,False,,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,6.0,PHYSICAL_CAPACITY_DROP,23.4375,7.5,25.781250000000004,7.5,57.8125,False,False,,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,8.0,ROUTE_DEGRADED,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,8.2,RECOVERY_DECISION,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=2:method=full_rebuild,2,full_rebuild,8.4,ACTIVATION_RESULT,18.75,18.75,25.781250000000004,18.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=2:method=full_rebuild,2,full_rebuild,8.6,STABLE_HEALTH_WINDOW,18.75,18.75,25.781250000000004,18.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=2:method=network_only,2,network_only,0.0,STABLE,18.75,18.75,42.1875,42.1875,10.0,True,False,,False,False
compound:seed=2:method=network_only,2,network_only,2.0,DEMAND_INCREASE,23.4375,23.4375,42.1875,42.1875,10.0,True,False,,False,False
compound:seed=2:method=network_only,2,network_only,4.0,NETWORK_UTILIZATION_RISE,23.4375,23.4375,25.781250000000004,42.1875,10.0,True,False,,False,False
compound:seed=2:method=network_only,2,network_only,6.0,PHYSICAL_CAPACITY_DROP,23.4375,7.5,25.781250000000004,7.5,57.8125,False,False,,False,False
compound:seed=2:method=network_only,2,network_only,8.0,ROUTE_DEGRADED,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_ROUTE,False,False
compound:seed=2:method=network_only,2,network_only,8.2,RECOVERY_DECISION,23.4375,7.5,15.234375,7.5,57.8125,False,True,KEEP_ROUTE,False,False
compound:seed=2:method=network_only,2,network_only,8.4,ACTIVATION_RESULT,18.75,0.0,25.781250000000004,7.5,66.25,False,True,KEEP_ROUTE,False,False
compound:seed=2:method=network_only,2,network_only,8.6,STABLE_HEALTH_WINDOW,18.75,0.0,25.781250000000004,7.5,66.25,False,True,KEEP_ROUTE,False,False
compound:seed=3:method=proposed,3,proposed,0.0,STABLE,13.0,13.0,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=proposed,3,proposed,2.0,DEMAND_INCREASE,16.25,16.25,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=proposed,3,proposed,4.0,NETWORK_UTILIZATION_RISE,16.25,16.25,17.875,29.25,10.0,True,False,,False,False
compound:seed=3:method=proposed,3,proposed,6.0,PHYSICAL_CAPACITY_DROP,16.25,5.2,17.875,5.2,43.150000000000006,False,False,,False,False
compound:seed=3:method=proposed,3,proposed,8.0,ROUTE_DEGRADED,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=3:method=proposed,3,proposed,8.2,RECOVERY_DECISION,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=3:method=proposed,3,proposed,8.4,ACTIVATION_RESULT,13.0,13.0,17.875,13.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=3:method=proposed,3,proposed,8.6,STABLE_HEALTH_WINDOW,13.0,13.0,17.875,13.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=3:method=full_rebuild,3,full_rebuild,0.0,STABLE,13.0,13.0,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,2.0,DEMAND_INCREASE,16.25,16.25,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,4.0,NETWORK_UTILIZATION_RISE,16.25,16.25,17.875,29.25,10.0,True,False,,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,6.0,PHYSICAL_CAPACITY_DROP,16.25,5.2,17.875,5.2,43.150000000000006,False,False,,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,8.0,ROUTE_DEGRADED,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,8.2,RECOVERY_DECISION,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=3:method=full_rebuild,3,full_rebuild,8.4,ACTIVATION_RESULT,13.0,13.0,17.875,13.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=3:method=full_rebuild,3,full_rebuild,8.6,STABLE_HEALTH_WINDOW,13.0,13.0,17.875,13.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=3:method=network_only,3,network_only,0.0,STABLE,13.0,13.0,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=network_only,3,network_only,2.0,DEMAND_INCREASE,16.25,16.25,29.25,29.25,10.0,True,False,,False,False
compound:seed=3:method=network_only,3,network_only,4.0,NETWORK_UTILIZATION_RISE,16.25,16.25,17.875,29.25,10.0,True,False,,False,False
compound:seed=3:method=network_only,3,network_only,6.0,PHYSICAL_CAPACITY_DROP,16.25,5.2,17.875,5.2,43.150000000000006,False,False,,False,False
compound:seed=3:method=network_only,3,network_only,8.0,ROUTE_DEGRADED,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_ROUTE,False,False
compound:seed=3:method=network_only,3,network_only,8.2,RECOVERY_DECISION,16.25,5.2,10.5625,5.2,43.150000000000006,False,True,KEEP_ROUTE,False,False
compound:seed=3:method=network_only,3,network_only,8.4,ACTIVATION_RESULT,13.0,0.0,17.875,5.2,49.0,False,True,KEEP_ROUTE,False,False
compound:seed=3:method=network_only,3,network_only,8.6,STABLE_HEALTH_WINDOW,13.0,0.0,17.875,5.2,49.0,False,True,KEEP_ROUTE,False,False
compound:seed=4:method=proposed,4,proposed,0.0,STABLE,10.75,10.75,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=proposed,4,proposed,2.0,DEMAND_INCREASE,13.4375,13.4375,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=proposed,4,proposed,4.0,NETWORK_UTILIZATION_RISE,13.4375,13.4375,14.781250000000002,24.1875,10.0,True,False,,False,False
compound:seed=4:method=proposed,4,proposed,6.0,PHYSICAL_CAPACITY_DROP,13.4375,4.3,14.781250000000002,4.3,37.412499999999994,False,False,,False,False
compound:seed=4:method=proposed,4,proposed,8.0,ROUTE_DEGRADED,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
