experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,gateway_change_ratio_percent,40.0,25.0,96.24999999999999,25.833333333333332,54.166666666666664,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,recovery_latency_ms,4.2506,3.502,7.553499999999999,3.3787999999999996,5.2206,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,rule_change_ratio_percent,9.680977667235327,3.5799168152109333,36.015173410404614,2.6146456726179466,17.786783742633816,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,gateway_change_ratio_percent,46.66666666666666,33.33333333333333,96.24999999999999,34.166666666666664,59.166666666666664,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,recovery_latency_ms,4.342599999999999,3.6559999999999997,7.553499999999999,3.4888,5.2745999999999995,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,rule_change_ratio_percent,9.437350890111444,3.795865279299014,36.015173410404614,2.2478634786773886,17.38227795701203,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,gateway_change_ratio_percent,29.166666666666664,16.666666666666664,96.24999999999999,3.333333333333333,54.999999999999986,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,qos_recovery_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,recovery_latency_ms,5.1892,3.6559999999999997,7.876,3.656,5.895,5,3,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,rule_change_ratio_percent,8.346110893352826,1.9886363636363635,36.015173410404614,0.426829268292683,17.038435592480006,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,success_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,30.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,gateway_change_ratio_percent,29.166666666666664,16.666666666666664,96.24999999999999,3.333333333333333,55.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,qos_recovery_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,recovery_latency_ms,5.1892,3.6559999999999997,7.876,3.656,5.895,5,3,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,rule_change_ratio_percent,8.346110893352826,1.9886363636363635,36.015173410404614,0.426829268292683,17.038435592480006,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,success_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,40.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,gateway_change_ratio_percent,29.166666666666664,16.666666666666664,96.24999999999999,3.333333333333333,55.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,qos_recovery_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,recovery_latency_ms,5.1892,3.6559999999999997,7.876,3.656,5.895,5,3,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,rule_change_ratio_percent,8.346110893352826,1.9886363636363635,36.015173410404614,0.426829268292683,17.038435592480006,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,success_rate_percent,50.0,50.0,100.0,10.0,90.0,10,5,5000
exp4,pilot,capacity_stress,cspf,CSPF,capacity_reduction_percent,50.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,gateway_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,recovery_latency_ms,15.948000000000002,16.038,16.4705,15.613000000000003,16.293,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,rule_change_ratio_percent,101.60429378521557,100.89497920380273,104.69997247453895,100.66872165911835,102.53986591131282,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,10.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,gateway_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,recovery_latency_ms,15.958000000000002,16.088,16.4705,15.613000000000003,16.303,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,rule_change_ratio_percent,101.72477571292642,101.1779379157428,104.69997247453895,100.78920358682919,102.66034783902364,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,20.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,gateway_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,recovery_latency_ms,15.923000000000002,15.988000000000001,16.4705,15.558000000000002,16.248,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,rule_change_ratio_percent,101.30078808348479,100.56818181818181,104.69997247453895,100.1219512195122,102.47962494745738,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,30.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,gateway_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,recovery_latency_ms,15.923000000000002,15.988000000000001,16.4705,15.578,16.263374999999996,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,rule_change_ratio_percent,101.30078808348479,100.56818181818181,104.69997247453895,100.1219512195122,102.45358401822125,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,40.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,gateway_change_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,recovery_latency_ms,15.923000000000002,15.988000000000001,16.4705,15.558000000000002,16.248,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,rule_change_ratio_percent,101.30078808348479,100.56818181818181,104.69997247453895,100.1219512195122,102.47962494745738,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,full_rebuild,Full-Rebuild,capacity_reduction_percent,50.0,unaffected_disturbance_ratio_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
exp4,pilot,capacity_stress,netkeeper,NetKeeper*,capacity_reduction_percent,10.0,gateway_change_ratio_percent,39.166666666666664,25.0,96.24999999999999,25.0,54.166666666666664,10,5,5000
exp4,pilot,capacity_stress,netkeeper,NetKeeper*,capacity_reduction_percent,10.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000
