method,scenario,conflict_pressure,seed,ground_truth_conflict,ground_truth_resolvable,conflict_class,selected_proposals,selected_action_set,qos_satisfied,infeasible_configuration,conflict_detected,conflict_resolved,safe_rejection,rollback_triggered,coordination_latency_ms,transaction_latency_ms
proposed,transport_network,0.95,16,True,True,RESOLVABLE_CONFLICT,exp3-seed-0016:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0016:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0016:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0016:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.836592823266983,11.59399002790451
independent,transport_network,0.95,16,True,True,RESOLVABLE_CONFLICT,exp3-seed-0016:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0016:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0016:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0016:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.034477561712265015,14.952179044485092
adjacent,transport_network,0.95,16,True,True,RESOLVABLE_CONFLICT,exp3-seed-0016:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0016:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0016:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0016:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6843134760856628,11.825405061244965
no_verification,transport_network,0.95,16,True,True,RESOLVABLE_CONFLICT,exp3-seed-0016:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0016:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0016:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0016:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5586780607700348,14.982514083385468
proposed,transport_network,0.95,17,True,True,RESOLVABLE_CONFLICT,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0017:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.826772958040237,11.233534663915634
independent,transport_network,0.95,17,True,True,RESOLVABLE_CONFLICT,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03437697887420654,14.520864933729172
adjacent,transport_network,0.95,17,True,True,RESOLVABLE_CONFLICT,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0017:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.689242035150528,11.284727603197098
no_verification,transport_network,0.95,17,True,True,RESOLVABLE_CONFLICT,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5538389086723328,14.528010040521622
proposed,transport_network,0.95,18,True,True,RESOLVABLE_CONFLICT,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0018:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.864886403083801,11.128697544336319
independent,transport_network,0.95,18,True,True,RESOLVABLE_CONFLICT,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.036831945180892944,14.466729015111923
adjacent,transport_network,0.95,18,True,True,RESOLVABLE_CONFLICT,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0018:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6959438323974609,11.1982561647892
no_verification,transport_network,0.95,18,True,True,RESOLVABLE_CONFLICT,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.55660679936409,14.453217387199402
proposed,transport_network,0.95,19,True,True,RESOLVABLE_CONFLICT,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0019:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.862032830715179,12.449901551008224
independent,transport_network,0.95,19,True,True,RESOLVABLE_CONFLICT,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0019:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03587454557418823,16.24411717057228
adjacent,transport_network,0.95,19,True,True,RESOLVABLE_CONFLICT,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0019:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6933324038982391,12.651946395635605
no_verification,transport_network,0.95,19,True,True,RESOLVABLE_CONFLICT,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0019:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5590133368968964,16.17969572544098
proposed,transport_network,0.95,20,True,True,RESOLVABLE_CONFLICT,exp3-seed-0020:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0020:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0020:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0020:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.890043288469315,11.898595839738846
independent,transport_network,0.95,20,True,True,RESOLVABLE_CONFLICT,exp3-seed-0020:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0020:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0020:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0020:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03476068377494812,15.424128621816635
adjacent,transport_network,0.95,20,True,True,RESOLVABLE_CONFLICT,exp3-seed-0020:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0020:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0020:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0020:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6915144622325897,11.988576501607895
no_verification,transport_network,0.95,20,True,True,RESOLVABLE_CONFLICT,exp3-seed-0020:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0020:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0020:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0020:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5555301904678345,15.465833246707916
proposed,transport_network,0.95,21,True,True,RESOLVABLE_CONFLICT,exp3-seed-0021:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0021:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0021:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0021:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.869986325502396,12.61863112449646
independent,transport_network,0.95,21,True,True,RESOLVABLE_CONFLICT,exp3-seed-0021:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0021:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0021:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0021:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03501772880554199,16.503121703863144
adjacent,transport_network,0.95,21,True,True,RESOLVABLE_CONFLICT,exp3-seed-0021:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0021:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0021:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0021:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6844103336334229,12.751687318086624
