run_id,seed,task_id,event_id,event_type,old_version,new_version,num_agents_before,num_agents_after,num_edges_before,num_edges_after,num_gateways,event_occurred_at,event_received_at,scope_finished_at,delta_compiled_at,stage_finished_at,verification_finished_at,activation_finished_at,rollback_finished_at,scope_latency_ms,delta_compile_latency_ms,stage_latency_ms,verification_latency_ms,activation_latency_ms,rollback_latency_ms,elastic_latency_ms,affected_agents,affected_edges,affected_sessions,affected_routes,affected_physical_resources,affected_gateways,added_rules,updated_rules,deleted_rules,residual_rules,unaffected_edges_total,unaffected_edges_interrupted,unaffected_service_interruption_ms,success,rollback_triggered,rollback_success,failure_reason
1,7,task-rescue-001,agent-remove-success-000001,AGENT_REMOVE,1,2,4,3,3,2,3,21177691.132170197,21177691.132185027,21177691.132215437,21177691.133950002,21177691.13635484,21177691.136882965,21177691.13731583,0.0,0.030238181352615356,1.734565943479538,2.1920092403888702,0.48794224858283997,0.39448216557502747,0.0,5.145631730556488,5,1,1,1,2,2,0,0,2,0,2,0,0.0,True,False,False,
2,7,task-rescue-001,agent-remove-rollback-000001,AGENT_REMOVE,1,2,4,4,3,3,3,21177691.144828625,21177691.144842505,21177691.144870605,21177691.14657264,21177691.14854372,0.0,0.0,21177691.14888593,0.02796575427055359,1.70203298330307,1.7700456082820892,0.0,0.0,4.057306796312332,0.0,5,1,1,1,2,2,0,0,2,0,2,0,0.0,False,True,True,stage failed: injected_stage_failure
