run_id,seed,method,time_step,logical_time,pressure,application_demand_mbps,network_available_bandwidth_mbps,physical_available_capacity_mbps,actual_send_rate_mbps,latency_ms,packet_loss_rate,reliability,qos_satisfied,conflict_detected,conflict_detected_at,action_executed_at,transaction_success,rollback_triggered,selected_proposals
compound:seed=1:method=no_verification,1,no_verification,0,0.0,0.0,13.81818879833122,20.0,22.0,14.509098238247782,16.81599343595595,0.0059890060000000744,0.993014991,True,False,21192851.66183231,21192851.677616306,True,False,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=1:method=no_verification,1,no_verification,1,1.0,0.25,17.439531863136914,20.0,22.0,18.311508456293762,18.242527700995538,0.0059890060000000744,0.993014991,True,False,21192851.746103913,21192851.762289945,True,False,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=1:method=no_verification,1,no_verification,2,2.0,0.5,20.755279412950365,21.793043383597883,22.0,21.793043383597883,19.695652173913043,0.0059890060000000744,0.993014991,True,False,21192851.83104698,21192851.847251844,True,False,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=1:method=no_verification,1,no_verification,3,3.0,0.75,24.255374883649882,25.468143627832376,22.0,25.468143627832376,21.0,0.0059890060000000744,0.993014991,False,False,21192851.91586716,21192851.931998063,False,True,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=1:method=no_verification,1,no_verification,4,4.0,1.0,27.97234960078598,29.370967080825277,22.0,29.370967080825277,22.304347826086957,0.0059890060000000744,0.993014991,False,False,21192852.00390867,21192852.02006742,False,True,exp3-seed-0001:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0001:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0001:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0001:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=2:method=proposed,2,proposed,0,0.0,0.0,14.17501366603193,20.0,22.0,14.883764349333527,16.832225599647302,0.003995002000000025,0.995006997,True,False,21192852.2174628,21192852.233726267,True,False,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=2:method=proposed,2,proposed,1,1.0,0.25,17.427120136971045,20.0,22.0,18.2984761438196,18.241430143549152,0.003995002000000025,0.995006997,True,False,21192852.305226892,21192852.321975883,True,False,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=2:method=proposed,2,proposed,2,2.0,0.5,20.986116518411723,22.03542234433231,36.0,22.03542234433231,19.695652173913043,0.0059890060000000744,0.993014991,True,True,21192852.393837124,21192852.41095109,True,False,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=2:method=proposed,2,proposed,3,3.0,0.75,24.527600800394875,25.75398084041462,36.0,25.75398084041462,21.0,0.0059890060000000744,0.993014991,True,True,21192852.48269,21192852.499474514,True,False,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:01:INCREASE_SEND_RATE
compound:seed=2:method=proposed,2,proposed,4,4.0,1.0,28.198682959031277,29.60861710698284,36.0,28.198682959031277,22.12008072653885,0.0059890060000000744,0.993014991,True,True,21192852.571648527,21192852.58830028,True,False,exp3-seed-0002:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0002:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0002:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0002:edge-0000:transport:02:DECREASE_SEND_RATE
