run_id,seed,scenario,method,scenario_fingerprint,result_mode,num_agents,num_edges,num_gateways,num_proposals,num_layers_involved,conflict_pressure,ground_truth_conflict,ground_truth_resolvable,conflict_detected,conflict_type,conflict_resolved,candidate_combinations,rejected_combinations,selected_proposals,rejected_proposals,coordination_latency_ms,feasibility_latency_ms,transaction_latency_ms,total_decision_latency_ms,qos_satisfied,qos_satisfaction_rate,infeasible_configuration,post_execution_verification_success,application_rate_mbps,transport_rate_mbps,network_available_bandwidth_mbps,physical_available_capacity_mbps,latency_ms,packet_loss_rate,reliability,changed_actions,changed_rules,affected_gateways,control_messages,control_bytes,rollback_triggered,rollback_success,success,failure_reason,event_occurred_at,decision_finished_at
application_capacity:pressure=1.2:seed=17:method=proposed,17,application_capacity:pressure=1.2,proposed,a9319bdb88cbd15eec61ac545efb55badd91110e379d4c7a2683c040d84a1136,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,True,APPLICATION_CAPACITY;NETWORK_PHYSICAL,True,81,77,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,8,4.942558705806732,4.86474484205246,11.2512968480587,21.23481035232544,True,1.0,False,True,24.166460136358026,25.37478314317593,25.37478314317593,36.0,17.08695652173913,0.0059890060000000744,0.993014991,4,3,3,32,41404,False,False,True,,21192674.773868937,21192674.795103747
application_capacity:pressure=1.2:seed=17:method=independent,17,application_capacity:pressure=1.2,independent,a9319bdb88cbd15eec61ac545efb55badd91110e379d4c7a2683c040d84a1136,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,False,APPLICATION_CAPACITY;NETWORK_PHYSICAL,False,4,0,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.035371631383895874,0.0,14.465268701314926,19.510962069034576,False,0.0,True,False,24.166460136358026,25.37478314317593,25.37478314317593,20.0,17.08695652173913,0.003995002000000025,0.995006997,4,3,3,40,42460,True,True,False,stable verification failed: business_qos_verification_failed,21192674.876725007,21192674.89623597
application_capacity:pressure=1.2:seed=17:method=adjacent,17,application_capacity:pressure=1.2,adjacent,a9319bdb88cbd15eec61ac545efb55badd91110e379d4c7a2683c040d84a1136,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,True,APPLICATION_CAPACITY;NETWORK_PHYSICAL,True,3,4,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.7024668157100677,0.6626695394515991,11.302951723337173,17.038162797689438,True,1.0,False,True,24.166460136358026,25.37478314317593,25.37478314317593,36.0,17.08695652173913,0.0059890060000000744,0.993014991,4,3,3,32,41404,False,False,True,,21192674.97774235,21192674.994780514
application_capacity:pressure=1.2:seed=17:method=no_verification,17,application_capacity:pressure=1.2,no_verification,a9319bdb88cbd15eec61ac545efb55badd91110e379d4c7a2683c040d84a1136,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,False,APPLICATION_CAPACITY;NETWORK_PHYSICAL,False,81,0,exp3-seed-0017:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0017:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0017:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0017:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5528144538402557,0.0,14.463279396295547,20.012997090816498,False,0.0,True,False,24.166460136358026,25.37478314317593,25.37478314317593,22.0,17.08695652173913,0.0059890060000000744,0.993014991,3,3,3,40,42460,True,True,False,stable verification failed: business_qos_verification_failed,21192675.076379094,21192675.09639209
application_capacity:pressure=1.2:seed=18:method=proposed,18,application_capacity:pressure=1.2,proposed,86e4ba94bc769e232c3926d114d38197a0203e2c4f8cefcc0ba96de58d35e117,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,True,APPLICATION_CAPACITY;NETWORK_PHYSICAL,True,81,77,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,8,4.903391003608704,4.825800657272339,11.085938662290573,21.21015265583992,True,1.0,False,True,24.21055042825989,25.421077949672885,25.421077949672885,36.0,17.08695652173913,0.0059890060000000744,0.993014991,4,2,2,32,40290,False,False,True,,21192675.194703594,21192675.215913747
application_capacity:pressure=1.2:seed=18:method=independent,18,application_capacity:pressure=1.2,independent,86e4ba94bc769e232c3926d114d38197a0203e2c4f8cefcc0ba96de58d35e117,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,False,APPLICATION_CAPACITY;NETWORK_PHYSICAL,False,4,0,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.034864991903305054,0.0,14.382269233465195,19.428882747888565,False,0.0,True,False,24.21055042825989,25.421077949672885,25.421077949672885,20.0,17.08695652173913,0.003995002000000025,0.995006997,4,2,2,40,41346,True,True,False,stable verification failed: business_qos_verification_failed,21192675.29728011,21192675.316708993
application_capacity:pressure=1.2:seed=18:method=adjacent,18,application_capacity:pressure=1.2,adjacent,86e4ba94bc769e232c3926d114d38197a0203e2c4f8cefcc0ba96de58d35e117,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,True,APPLICATION_CAPACITY;NETWORK_PHYSICAL,True,3,4,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.7190816104412079,0.6794817745685577,11.146564036607742,16.89295843243599,True,1.0,False,True,24.21055042825989,25.421077949672885,25.421077949672885,36.0,17.08695652173913,0.0059890060000000744,0.993014991,4,2,2,32,40290,False,False,True,,21192675.397693653,21192675.41458661
application_capacity:pressure=1.2:seed=18:method=no_verification,18,application_capacity:pressure=1.2,no_verification,86e4ba94bc769e232c3926d114d38197a0203e2c4f8cefcc0ba96de58d35e117,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,False,APPLICATION_CAPACITY;NETWORK_PHYSICAL,False,81,0,exp3-seed-0018:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0018:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0018:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0018:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.5609467625617981,0.0,14.379370957612991,19.944213330745697,False,0.0,True,False,24.21055042825989,25.421077949672885,25.421077949672885,22.0,17.08695652173913,0.0059890060000000744,0.993014991,3,2,2,40,41346,True,True,False,stable verification failed: business_qos_verification_failed,21192675.49582504,21192675.515769254
application_capacity:pressure=1.2:seed=19:method=proposed,19,application_capacity:pressure=1.2,proposed,372717284aab2161f1dcd639e2c3b761d6447e8c17377810358a4b72c4674066,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,True,APPLICATION_CAPACITY;NETWORK_PHYSICAL,True,81,77,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0019:edge-0000:physical:02:ALLOCATE_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,8,4.962678998708725,4.885856062173843,12.420129030942917,22.76434376835823,True,1.0,False,True,23.699868971908035,24.88486242050344,24.88486242050344,36.0,17.08695652173913,0.0059890060000000744,0.993014991,4,3,3,32,46874,False,False,True,,21192675.615578055,21192675.6383424
application_capacity:pressure=1.2:seed=19:method=independent,19,application_capacity:pressure=1.2,independent,372717284aab2161f1dcd639e2c3b761d6447e8c17377810358a4b72c4674066,in_memory_transactional_control_plane_simulation,10,15,4,12,4,1.2,True,True,False,APPLICATION_CAPACITY;NETWORK_PHYSICAL,False,4,0,exp3-seed-0019:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0019:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0019:edge-0000:physical:01:REALLOCATE_RESOURCE;exp3-seed-0019:edge-0000:transport:01:INCREASE_SEND_RATE,8,0.03471970558166504,0.0,16.227886080741882,21.593138575553894,False,0.0,True,False,23.699868971908035,24.88486242050344,24.88486242050344,20.0,17.08695652173913,0.003995002000000025,0.995006997,4,3,3,40,47930,True,True,False,stable verification failed: business_qos_verification_failed,21192675.721641485,21192675.743234623
