paper_fault_family,method,component,mean_ms,ci95_ms,sample_count,detection_interval_excluded,verification_includes_stable_health_windows
Agent Failure,full_rebuild,Localization,0.18506976465384165,0.002236980651833337,150,True,False
Agent Failure,full_rebuild,Proposal,0.20233392715454102,0.001584027888178844,150,True,False
Agent Failure,full_rebuild,Coordination,4.60458258787791,0.02066091089155674,150,True,False
Agent Failure,full_rebuild,Delta Compilation,0.3049141416947047,0.0037798903037725745,150,True,False
Agent Failure,full_rebuild,Stage,19.258268450697262,0.2148583127202024,150,True,False
Agent Failure,full_rebuild,Verification,104.94682095936923,0.043412456261013234,150,True,True
Agent Failure,full_rebuild,Activation,1.2602270394563675,0.01288240478085391,150,True,False
Agent Failure,proposed,Localization,0.18390469253063202,0.0014315742457105076,150,True,False
Agent Failure,proposed,Proposal,0.2022453397512436,0.0016407068032566,150,True,False
Agent Failure,proposed,Coordination,4.859818716843923,0.4123652895673211,150,True,False
Agent Failure,proposed,Delta Compilation,0.3072109321753184,0.003922037228657249,150,True,False
Agent Failure,proposed,Stage,14.318453396360079,0.3006811089144971,150,True,False
Agent Failure,proposed,Verification,104.66618140530576,0.04136589213893851,150,True,True
Agent Failure,proposed,Activation,1.255077024300893,0.011945460923582368,150,True,False
Link Failure,full_rebuild,Localization,0.18245749175548553,0.0010126139867670588,150,True,False
Link Failure,full_rebuild,Proposal,0.22184938192367554,0.0019671404759443838,150,True,False
Link Failure,full_rebuild,Coordination,5.031903013586998,0.9888596384576942,150,True,False
Link Failure,full_rebuild,Delta Compilation,0.29223084449768066,0.0028368354175616617,150,True,False
Link Failure,full_rebuild,Stage,19.264470388491947,0.14472720573912862,150,True,False
Link Failure,full_rebuild,Verification,104.92292004319022,0.03691601876268289,150,True,True
Link Failure,full_rebuild,Activation,1.2626959383487701,0.011620808086480918,150,True,False
Link Failure,proposed,Localization,0.1826013376315435,0.001058793642386408,150,True,False
Link Failure,proposed,Proposal,0.22266564269860586,0.002058991503224169,150,True,False
Link Failure,proposed,Coordination,4.520038589835167,0.007509874727203405,150,True,False
Link Failure,proposed,Delta Compilation,0.2936783929665883,0.0026136969101486283,150,True,False
Link Failure,proposed,Stage,13.435712903738022,0.19677697289544988,150,True,False
Link Failure,proposed,Verification,104.63733630867789,0.03565386868629734,150,True,True
Link Failure,proposed,Activation,1.2535401433706284,0.009804835113353517,150,True,False
Physical Capacity Drop,full_rebuild,Localization,0.18936507403850555,0.0007806228340022321,150,True,False
Physical Capacity Drop,full_rebuild,Proposal,0.25456197559833527,0.0020336521912974435,150,True,False
Physical Capacity Drop,full_rebuild,Coordination,4.482233325640361,0.009593987519564197,150,True,False
Physical Capacity Drop,full_rebuild,Delta Compilation,0.31006671488285065,0.0021729635232704434,150,True,False
Physical Capacity Drop,full_rebuild,Stage,18.971357320745785,0.14877469391146847,150,True,False
Physical Capacity Drop,full_rebuild,Verification,104.55651064705839,0.031704886324065706,150,True,True
Physical Capacity Drop,full_rebuild,Activation,1.1917574455340703,0.007808899185399552,150,True,False
Physical Capacity Drop,proposed,Localization,0.18924166758855185,0.0008768136778977177,150,True,False
Physical Capacity Drop,proposed,Proposal,0.25505195061365765,0.0019506146643394374,150,True,False
Physical Capacity Drop,proposed,Coordination,5.171421269575755,1.396253105337497,150,True,False
Physical Capacity Drop,proposed,Delta Compilation,0.3107546269893646,0.0022715843368058923,150,True,False
Physical Capacity Drop,proposed,Stage,13.979872067769369,0.28370637884662697,150,True,False
Physical Capacity Drop,proposed,Verification,105.11007358622541,1.541374221754107,150,True,True
Physical Capacity Drop,proposed,Activation,1.2012295921643574,0.009967864519639493,150,True,False
