paper_fault_family,method,sample_count,mean_ratio,ci95_ratio,reduction_percent
Agent Failure,full_rebuild,150,1.0310429495689615,0.012256529384762809,
Agent Failure,proposed,150,0.30578433321039966,0.023948206045055095,70.34223129713112
Link Failure,full_rebuild,150,1.068357115355771,0.00935411294677825,
Link Failure,proposed,150,0.21958018365314885,0.03005695458836062,79.44693019805207
Physical Capacity Drop,full_rebuild,150,1.0,0.0,
Physical Capacity Drop,proposed,150,0.27139397097914586,0.03773162219692523,72.86060290208542
