method,sample_count,x_percent,mean_ratio,ci95_ratio
full_rebuild,30,5.0,1.221054140925613,0.040621650123708705
proposed,30,5.0,0.03968036168893989,0.005836194295486059
full_rebuild,30,10.0,1.4497705501135647,0.05929273325204492
proposed,30,10.0,0.13532998933567822,0.01826715161566756
full_rebuild,30,20.0,1.4248177714553303,0.048571402836558794
proposed,30,20.0,0.30506634294195223,0.03094214667739107
full_rebuild,30,40.0,1.2750269105013778,0.029888055978501426
proposed,30,40.0,0.6207257425118227,0.02726489376169063
