x,method,mean,ci95,sample_count
Agent,full_rebuild,1.0310429495689615,0.007227866022460991,150
Agent,network_only,0.06055126812955955,0.008651801048134115,150
Agent,proposed,0.30578433321039966,0.04105880456810419,150
Link,full_rebuild,1.068357115355771,0.015357584611706023,150
Link,network_only,0.21958018365314885,0.0493554405752153,150
Link,proposed,0.21958018365314885,0.0493554405752153,150
Physical,full_rebuild,1.0,0.0,150
Physical,network_only,0.0,0.0,150
Physical,proposed,0.2713939709791459,0.022046842030265114,150
