x,method,mean,ci95,sample_count
Agent,full_rebuild,280.7622168709834,0.5013102403923546,150
Agent,network_only,277.01412203411263,2.582463252529208,30
Agent,proposed,275.7928915073474,0.8938656073143815,150
Link,full_rebuild,225.09558406968912,1.2305594366838586,150
Link,network_only,219.921117896835,0.30562728441678083,150
Link,proposed,219.897252942125,0.3040464070640705,150
Physical,full_rebuild,167.9655553152164,0.24751882074725026,150
Physical,network_only,0.0,0.0,60
Physical,proposed,167.09913738071918,3.054005560322114,150
