experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,gateway_change_ratio_percent,36.888888888888886,25.0,100.0,32.72222222222222,41.222222222222214,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,modification_scope_ratio_percent,5.3335789813330665,2.0618644356018097,22.195141570141566,4.080261203055215,6.681967753780515,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,recovery_latency_ms,3.93924,3.348,7.001199999999998,3.7180693333333332,4.170253999999999,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,rule_change_ratio_percent,7.2399372526151895,2.7118955690384263,30.799999999999994,5.468928457403348,9.228566887547714,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,10.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,gateway_change_ratio_percent,42.0,33.33333333333333,100.0,37.55555555555555,46.61111111111111,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,modification_scope_ratio_percent,5.272043258795737,2.0576480151740957,22.195141570141566,3.9503015410886095,6.751039969893843,150,30,5000,,
exp4,paper,capacity_stress,cspf,CSPF,capacity_reduction_percent,20.0,qos_recovery_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
