scenario,seed,comparison_method,scenario_fingerprint,proposed_minus_method_total_decision_latency_ms,proposed_minus_method_coordination_latency_ms,proposed_minus_method_qos_satisfied,proposed_minus_method_infeasible,proposed_minus_method_changed_rules,proposed_minus_method_control_bytes
application_capacity:pressure=0.6,10,independent,cf48cf49060441aded0e29e39d6fbca4f682e51f93c8f1c30102037a46bd6579,4.674617201089859,4.749920219182968,0,0,0,0
application_capacity:pressure=0.6,10,adjacent,cf48cf49060441aded0e29e39d6fbca4f682e51f93c8f1c30102037a46bd6579,4.36970591545105,4.56724688410759,0,0,0,0
application_capacity:pressure=0.6,10,no_verification,cf48cf49060441aded0e29e39d6fbca4f682e51f93c8f1c30102037a46bd6579,4.137635231018066,4.2298100888729095,0,0,0,0
application_capacity:pressure=0.6,11,independent,e54a6b351909a0ac97fb4c3f18911033621719bf896d36e5dd787472dd24e4e9,4.483647644519806,4.736229777336121,0,0,0,0
application_capacity:pressure=0.6,11,adjacent,e54a6b351909a0ac97fb4c3f18911033621719bf896d36e5dd787472dd24e4e9,4.473347216844559,4.555806517601013,0,0,0,0
application_capacity:pressure=0.6,11,no_verification,e54a6b351909a0ac97fb4c3f18911033621719bf896d36e5dd787472dd24e4e9,4.003725945949554,4.195772111415863,0,0,0,0
application_capacity:pressure=0.6,12,independent,c1c5fd9e38e78f89422b0c4e98927a05fae92e13d187b0ca67ae8c8ef722a262,5.034398287534714,4.957325756549835,0,0,0,0
application_capacity:pressure=0.6,12,adjacent,c1c5fd9e38e78f89422b0c4e98927a05fae92e13d187b0ca67ae8c8ef722a262,5.0352513790130615,4.771415144205093,0,0,0,0
application_capacity:pressure=0.6,12,no_verification,c1c5fd9e38e78f89422b0c4e98927a05fae92e13d187b0ca67ae8c8ef722a262,4.688747227191925,4.429198801517487,0,0,0,0
application_capacity:pressure=0.6,13,independent,283355bf67e435531e4ce76ee8461344fc49c140b3f8acaed00addbe328bcaf7,4.731431603431702,4.7530680894851685,0,0,0,0
application_capacity:pressure=0.6,13,adjacent,283355bf67e435531e4ce76ee8461344fc49c140b3f8acaed00addbe328bcaf7,4.531238228082657,4.571877419948578,0,0,0,0
application_capacity:pressure=0.6,13,no_verification,283355bf67e435531e4ce76ee8461344fc49c140b3f8acaed00addbe328bcaf7,4.198234528303146,4.234082996845245,0,0,0,0
application_capacity:pressure=0.6,14,independent,f38d093fa1bead5d7010feaa161bb3b71fe3dd7560126d8fae5960ac2d148b77,4.937104880809784,4.926163703203201,0,0,0,0
application_capacity:pressure=0.6,14,adjacent,f38d093fa1bead5d7010feaa161bb3b71fe3dd7560126d8fae5960ac2d148b77,4.662744700908661,4.7434307634830475,0,0,0,0
application_capacity:pressure=0.6,14,no_verification,f38d093fa1bead5d7010feaa161bb3b71fe3dd7560126d8fae5960ac2d148b77,4.352401942014694,4.411313682794571,0,0,0,0
application_capacity:pressure=0.6,15,independent,dfaec873ec5997813ce55f05ee7885507b58cc1eb463c812d69782f525140135,4.6188123524188995,4.745278507471085,0,0,0,0
application_capacity:pressure=0.6,15,adjacent,dfaec873ec5997813ce55f05ee7885507b58cc1eb463c812d69782f525140135,4.411272704601288,4.532366991043091,0,0,0,0
application_capacity:pressure=0.6,15,no_verification,dfaec873ec5997813ce55f05ee7885507b58cc1eb463c812d69782f525140135,4.12214919924736,4.215981811285019,0,0,0,0
application_capacity:pressure=0.6,16,independent,26c5de2fe74fc098d1168e09452a5abeb0e15530b789aae138ea22dc4b048acc,4.831336438655853,4.850246012210846,0,0,0,0
application_capacity:pressure=0.6,16,adjacent,26c5de2fe74fc098d1168e09452a5abeb0e15530b789aae138ea22dc4b048acc,4.503786563873291,4.653166979551315,0,0,0,0
application_capacity:pressure=0.6,16,no_verification,26c5de2fe74fc098d1168e09452a5abeb0e15530b789aae138ea22dc4b048acc,4.30365651845932,4.333239048719406,0,0,0,0
application_capacity:pressure=0.6,17,independent,9c786bb6d88a097832daddb27324477cdac78408f7d5581783b88efed76b7dc9,4.7106146812438965,4.82533872127533,0,0,0,0
application_capacity:pressure=0.6,17,adjacent,9c786bb6d88a097832daddb27324477cdac78408f7d5581783b88efed76b7dc9,4.603724926710129,4.643801599740982,0,0,0,0
application_capacity:pressure=0.6,17,no_verification,9c786bb6d88a097832daddb27324477cdac78408f7d5581783b88efed76b7dc9,4.204828292131424,4.3099261820316315,0,0,0,0
