x,method,mean,ci95,sample_count,success_rate
0.05,full_rebuild,1.221054140925613,0.040621650123708705,30,1.0
0.05,local_only,0.03234141800480673,0.0029002350566107696,30,0.0
0.05,proposed,0.03968036168893989,0.005836194295486059,30,1.0
0.1,full_rebuild,1.4497705501135647,0.05929273325204492,30,1.0
0.1,local_only,0.13160934775969074,0.01825806326686475,30,0.4
0.1,proposed,0.13532998933567822,0.01826715161566756,30,1.0
0.2,full_rebuild,1.4248177714553303,0.048571402836558794,30,1.0
0.2,local_only,0.3038201281737249,0.031123370888853523,30,0.8666666666666667
0.2,proposed,0.30506634294195223,0.03094214667739107,30,1.0
0.4,full_rebuild,1.2750269105013778,0.029888055978501426,30,1.0
0.4,local_only,0.6207257425118227,0.02726489376169063,30,1.0
0.4,proposed,0.6207257425118227,0.02726489376169063,30,1.0
