method,component,mean_ms
full_rebuild,scope,0.09105727076530457
full_rebuild,compile_delta,4.069154833753903
full_rebuild,stage,20.135286698738735
full_rebuild,verification,3.2922803113857904
full_rebuild,activation,1.1567863325277965
local_only,scope,0.09131028006474178
local_only,compile_delta,8.388969115912914
local_only,stage,11.802686688800653
local_only,verification,3.2577449455857277
local_only,activation,1.1361371725797653
proposed,scope,0.09110569953918457
proposed,compile_delta,8.266165480017662
proposed,stage,11.614018306136131
proposed,verification,3.3108393351236978
proposed,activation,1.1494121203819911
