run_id,seed,method,scenario,scenario_fingerprint,result_mode,num_agents_before,num_agents_after,num_edges_before,num_edges_after,num_gateways,cross_gateway_edge_ratio,agent_removal_ratio,removed_agent_type,removed_agent_ids,old_version,new_version,success,failure_reason,elastic_latency_ms,failure_handling_ms,scope_latency_ms,plan_latency_ms,compile_delta_latency_ms,stage_latency_ms,verification_latency_ms,activation_latency_ms,rollback_latency_ms,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,physical_bindings_before,physical_bindings_after,released_physical_resources,residual_physical_resources,total_rules_before,total_rules_after,added_rules,updated_rules,deleted_rules,changed_rules_ratio,residual_rules,control_messages,control_bytes,unaffected_edges_total,unaffected_edges_interrupted,unaffected_interrupted_rate,unaffected_interruption_ms,unaffected_latency_change_ms,unaffected_packet_loss_change,rollback_triggered,rollback_success,controller_cpu_percent,controller_memory_mb,event_occurred_at,event_received_at,scope_finished_at,plan_finished_at,stage_finished_at,verification_finished_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at
agent_count:10:seed=10:method=local_only,10,local_only,agent_count:10,75f5502200447143466f4e3e6f73c24c333d7cdfeab80342a0d5dbd20c8ac179,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-02:1!=2 | version_mismatch:gw-03:1!=2,0.0,11.67229562997818,0.05934387445449829,5.412716418504715,5.347207188606262,3.9141811430454254,1.067928969860077,0.0,0.3883726894855499,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,18147,14,0,0.0,0.0,0.0,0.0,True,True,100.00294744567553,56.87890625,21177822.865289137,21177822.865294583,21177822.86536885,21177822.870716058,21177822.875127025,21177822.876382306,0.0,0.0,21177822.876961432
agent_count:10:seed=11:method=local_only,11,local_only,agent_count:10,94a3fdac9d2b19a5c2c5d8b869ee63bfd471414e45a233cabc39d80f0f520229,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-01:1!=2,0.0,11.647552251815796,0.05917996168136597,5.412820726633072,5.3472816944122314,3.8968920707702637,1.0646916925907135,0.0,0.3867633640766144,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,18175,14,0,0.0,0.0,0.0,0.0,True,True,99.99932721545738,57.13671875,21177822.970896184,21177822.97090151,21177822.97097557,21177822.976322852,21177822.980715986,21177822.98196846,0.0,0.0,21177822.982543737
agent_count:10:seed=12:method=local_only,12,local_only,agent_count:10,ef9cb210937e2685f8ceccde6cdaa745796383c51b828d22bc84f75269f8ef67,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-01:exp3-seed-0012:exp3-seed-0012-sess-12:gw-01:0 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,9.913500398397446,0.05603581666946411,5.063533782958984,5.00107929110527,2.7127638459205627,0.9881705045700073,0.0,0.3524273633956909,5,1,1,1,2,2,28,28,0,0,32,32,0,0,2,0.0625,1,16,12447,14,0,0.0,0.0,0.0,0.0,True,True,99.99529460333852,57.39453125,21177823.068178277,21177823.06818358,21177823.068254344,21177823.073255423,21177823.076421756,21177823.077572785,0.0,0.0,21177823.078091778
agent_count:10:seed=13:method=local_only,13,local_only,agent_count:10,0f2aaee454440c20bc1272cff80c64c6cab95311b05a84046d94d73921ee5eac,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-03:1!=2,0.0,13.056188821792603,0.05953758955001831,5.371641367673874,5.305640399456024,5.298595875501633,1.085679978132248,0.0,0.40570273995399475,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,24660,14,0,0.0,0.0,0.0,0.0,True,True,99.99475710621442,57.39453125,21177823.18274653,21177823.18275209,21177823.182827152,21177823.188132793,21177823.193932436,21177823.195205957,0.0,0.0,21177823.19580272
agent_count:10:seed=14:method=local_only,14,local_only,agent_count:10,40bfc1325885e9bdfc1eb11fa1978289539a2354a0838e7ed99d9f87197c7df0,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: residual_rules:gw-02:exp3-seed-0014:exp3-seed-0014-sess-15:gw-02:0 | session_set_mismatch:gw-02 | version_mismatch:gw-02:1!=2 | version_mismatch:gw-03:1!=2,0.0,12.057878077030182,0.059835612773895264,5.3797997534275055,5.313541740179062,4.3051838874816895,1.0681450366973877,0.0,0.3982819616794586,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,1,16,20017,14,0,0.0,0.0,0.0,0.0,True,True,100.00437637778636,57.39453125,21177823.289817017,21177823.289822478,21177823.289897703,21177823.295211244,21177823.300022054,21177823.301284257,0.0,0.0,21177823.301874895
agent_count:10:seed=15:method=local_only,15,local_only,agent_count:10,f5873e8ca1893bf6e5b205aecc201976beae83ea9da69de99389fe3722fd3f10,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-02:1!=2 | version_mismatch:gw-03:1!=2,0.0,11.454019695520401,0.059567391872406006,5.406275391578674,5.340546369552612,3.7132278084754944,1.0678060352802277,0.0,0.3874637186527252,5,1,1,1,2,2,28,28,0,0,37,37,0,0,2,0.05405405405405406,0,16,17310,14,0,0.0,0.0,0.0,0.0,True,True,100.00011301446867,57.515625,21177823.397524063,21177823.397529528,21177823.397604022,21177823.40294457,21177823.407148376,21177823.40840056,0.0,0.0,21177823.408978082
agent_count:10:seed=16:method=local_only,16,local_only,agent_count:10,a8fd492e311e4489a8cc0d11e8242c518eb4c78d0202488a28908179d8301daf,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-009,1,2,False,staged verification failed: residual_rules:gw-00:exp3-seed-0016:exp3-seed-0016-sess-13:gw-00:0 | session_set_mismatch:gw-00 | version_mismatch:gw-00:1!=2 | residual_rules:gw-01:exp3-seed-0016:exp3-seed-0016-sess-13:gw-01:1 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,10.632898658514023,0.05860626697540283,5.281925201416016,5.217097699642181,3.128848969936371,1.0176561772823334,0.0,0.3744848072528839,5,1,1,1,2,2,28,28,0,0,35,35,0,0,2,0.05714285714285714,2,16,14475,14,0,0.0,0.0,0.0,0.0,True,True,100.00302630628781,57.671875,21177823.49978057,21177823.49978621,21177823.49985982,21177823.50507692,21177823.508676425,21177823.50986404,0.0,0.0,21177823.510413468
agent_count:10:seed=17:method=local_only,17,local_only,agent_count:10,89b4249130d55dc35671227b762300d3aaa30704b72815862f618331d77047b4,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-01:exp3-seed-0017:exp3-seed-0017-sess-14:gw-01:0 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,11.103000491857529,0.059138983488082886,5.194410681724548,5.128871649503708,3.6963708698749542,1.030612736940384,0.0,0.3685951232910156,5,1,1,1,2,2,28,28,0,0,34,34,0,0,2,0.058823529411764705,1,16,17154,14,0,0.0,0.0,0.0,0.0,True,True,100.0003358651923,58.0625,21177823.59907608,21177823.599081617,21177823.599156056,21177823.604284927,21177823.608440455,21177823.609639987,0.0,0.0,21177823.61017908
agent_count:10:seed=18:method=local_only,18,local_only,agent_count:10,e68b35b41fe034bf52399c6d0c6b73f2a62964502da1496492307ddbc5d04942,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-009,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | version_mismatch:gw-01:1!=2,0.0,11.344239115715027,0.058144330978393555,5.193356424570084,5.128826946020126,3.8875937461853027,1.048266887664795,0.0,0.37731602787971497,5,1,1,1,2,2,28,28,0,0,34,34,0,0,2,0.058823529411764705,0,16,17983,14,0,0.0,0.0,0.0,0.0,True,True,100.00397820798268,58.265625,21177823.69926812,21177823.69927368,21177823.69934716,21177823.704475988,21177823.708836734,21177823.71005733,0.0,0.0,21177823.71061236
agent_count:10:seed=19:method=local_only,19,local_only,agent_count:10,c6727d6a8ba3e069f44f750cff2f3670ae0906c4f13294ec899281024b0c09da,in_memory_transactional_simulation,10,10,15,15,4,0.8666666666666667,0.1,leaf,agent-007,1,2,False,staged verification failed: residual_rules:gw-02:exp3-seed-0019:exp3-seed-0019-sess-13:gw-02:0 | session_set_mismatch:gw-02 | version_mismatch:gw-02:1!=2 | version_mismatch:gw-03:1!=2,0.0,12.245047837495804,0.06072968244552612,5.522344261407852,5.455106496810913,4.313267767429352,1.0766908526420593,0.0,0.4034601151943207,5,1,1,1,2,2,28,28,0,0,39,39,0,0,2,0.05128205128205128,1,16,20093,14,0,0.0,0.0,0.0,0.0,True,True,99.99650825564274,58.47265625,21177823.8076015,21177823.807607137,21177823.807683326,21177823.813138433,21177823.817969285,21177823.819244064,0.0,0.0,21177823.81984655
