experiment,mode,trial_id,seed,event_id,method_id,method_label,method_source,adapted,topology_fingerprint,scenario_fingerprint,qos_fingerprint,event_fingerprint,series,result_mode,task_received_at,event_occurred_at,stable_verify_finished_at,task_size,num_dag_edges,num_gateways,state_churn_probability,conflict_density,conflict_type,ground_truth_feasible,business_change_type,affected_scope_ratio,failure_type,failure_severity,formation_latency_ms,resolution_latency_ms,reconfiguration_latency_ms,recovery_latency_ms,success,qos_satisfied,safe_rejection,failure_reason,total_rules,changed_rules,rule_change_ratio,total_gateways,changed_gateways,gateway_change_ratio,total_flows,unaffected_flows,disturbed_unaffected_flows,unaffected_disturbance_ratio,control_messages,control_bytes,rollback_count,stale_state_detected
exp1,pilot,exp1:state_churn:0:seed:0001:event:000,1,0,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,2bea9078b7da64f0dbbb832ea9115db0ee7ff5e6907c9ad4d1f6580b53444f73,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0001:event:000,1,0,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,2bea9078b7da64f0dbbb832ea9115db0ee7ff5e6907c9ad4d1f6580b53444f73,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0001:event:001,1,1,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.23894055810166662,24,38,12,0.0,,,,,,,,238.94055810166662,,,,True,True,,,76,,,12,,,38,,,,532,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0001:event:001,1,1,cspf,CSPF,CSPF,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.11505179656166672,24,38,12,0.0,,,,,,,,115.05179656166672,,,,True,True,,,76,,,12,,,38,,,,324,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0001:event:001,1,1,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0001:event:001,1,1,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,pilot,exp1:state_churn:0:seed:0002:event:000,2,0,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.28785594161333367,24,38,12,0.0,,,,,,,,287.85594161333364,,,,True,True,,,91,,,12,,,38,,,,592,222538,0,False
exp1,pilot,exp1:state_churn:0:seed:0002:event:000,2,0,cspf,CSPF,CSPF,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.12282655453000013,24,38,12,0.0,,,,,,,,122.82655453000014,,,,True,True,,,91,,,12,,,38,,,,356,222538,0,False
exp1,pilot,exp1:state_churn:0:seed:0002:event:000,2,0,proposed,Proposed,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02838813108500001,24,38,12,0.0,,,,,,,,28.388131085000012,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
exp1,pilot,exp1:state_churn:0:seed:0002:event:000,2,0,proposed_without_batch,Proposed w/o Batch,This work,False,259072098ad38b883fc49ea3ddfbe8c5130d7cbdfe65b8e8500852d4abb52e88,02f59c5ae73ee1a42ecf6d05756333e8e5682c4f604428852c48f1d8155b920d,5ec58117372d972bed8a724779d95f9fd79afc2a987517140600be87e6e63979,dca0fc43fc72eb917743139258592d73fb0016e73d686639119cefd5bedd06a9,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.062410988138333345,24,38,12,0.0,,,,,,,,62.410988138333344,,,,True,True,,,91,,,12,,,38,,,,190,222538,0,False
