scenario,conflict_pressure,method,runs,qos_satisfaction_rate,infeasible_configuration_rate,conflict_detection_rate,conflict_resolution_rate,safe_rejection_rate,rollback_rate,coordination_latency_ms_mean,coordination_latency_ms_ci95,transaction_latency_ms_mean,transaction_latency_ms_ci95
application_capacity,0.6,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2221946914990743,0.002758405927118747,12.516993780930838,1.224093881639223
application_capacity,0.6,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03563389182090759,0.00016797352081222015,11.945190529028574,0.14792840281558084
application_capacity,0.6,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.5589142441749573,0.002706045911456227,11.961935957272848,0.1528175394690536
application_capacity,0.6,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.894046609600385,0.03859290335288208,11.908894528945288,0.15747680687767573
application_capacity,0.8,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2196000268061956,0.0009294651096294819,12.462643658121427,1.0889901304613565
application_capacity,0.8,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03553169469038645,0.0003607071716867149,12.580556670824686,1.3834133489731726
application_capacity,0.8,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.5560319870710373,0.002052517222896225,11.946002518137297,0.16184216724179307
application_capacity,0.8,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.8391807824373245,0.017680380307592128,11.858338614304861,0.15699690859642615
application_capacity,1.0,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.22126647333304086,0.00085054625804296,12.986117973923683,2.139005049392279
application_capacity,1.0,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03590484460194906,0.0010608637109066096,12.80799979964892,1.8480788768502896
application_capacity,1.0,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.5540745953718821,0.001286943376721063,11.915789917111397,0.15661543058056998
application_capacity,1.0,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.839997366070747,0.01656647324230357,11.848574504256248,0.1586650774347039
application_capacity,1.1,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.7089188943306605,0.003186351181208335,11.929921805858612,0.16653341613074915
application_capacity,1.1,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.03525763750076294,0.00017914614736051692,15.37514515221119,0.21075698130719978
application_capacity,1.1,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5544515947500864,0.0015207262951681473,15.398617461323738,0.2122279615751375
application_capacity,1.1,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.879789551099141,0.01319788709566185,11.840237801273664,0.1559335350871608
application_capacity,1.2,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.707350547115008,0.00374076678864392,13.227799783150354,2.571334742828589
application_capacity,1.2,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.035344560941060386,0.00032831685063953195,15.381587048371633,0.21113438798778275
application_capacity,1.2,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5569928636153539,0.002926100771713404,15.428251648942629,0.2110068244712384
application_capacity,1.2,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.896339774131775,0.011294724188444284,11.85218965013822,0.16114539012832005
application_capacity,1.4,adjacent,30,0.0,1.0,1.0,0.0,0.0,1.0,0.7234486440817515,0.0027121032323526497,15.40233368674914,0.20738257993845932
application_capacity,1.4,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.03518673280874888,0.00022078624271038708,15.377330531676611,0.20901161390827702
application_capacity,1.4,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5569723745187124,0.0017398153157725305,15.404405444860458,0.208365100907042
application_capacity,1.4,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,5.130968242883682,0.008847634669719941,11.884059011936188,0.17259232002630648
network_physical,0.0,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.21747189263502756,0.0010914696617491198,11.878007650375366,0.16021265973529647
network_physical,0.0,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.035083418091138206,0.00034008862364645934,11.894787599643072,0.15767519013351208
network_physical,0.0,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.555201123158137,0.0014207432008158237,11.976073930660883,0.19699143053801632
network_physical,0.0,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,9.737310682733854,9.502831006663689,11.832249909639359,0.15063287903064948
network_physical,0.1,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.2179709573586782,0.0015316933635582748,11.872772499918938,0.15651502435761044
network_physical,0.1,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03510167201360067,0.00038128919873156087,11.900667349497477,0.16410578732850745
network_physical,0.1,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.554627925157547,0.0018115291444755158,11.912435914079348,0.1629508039666319
network_physical,0.1,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.8978521178166075,0.024947428816400635,11.813122034072876,0.15517238021249627
network_physical,0.2,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.4693172872066498,0.0857463699285769,16.425446545084316,8.905779620373293
network_physical,0.2,independent,30,0.4666666666666667,0.5333333333333333,0.0,0.0,0.0,0.5333333333333333,0.03512625892957052,0.0003954672008424057,13.79097911218802,0.7415272105369192
network_physical,0.2,no_verification,30,0.4666666666666667,0.5333333333333333,0.0,0.0,0.0,0.5333333333333333,0.5548927932977676,0.00145823129570702,13.803302124142647,0.7380865164747035
network_physical,0.2,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.902286579211553,0.014961565518112873,11.829375723997751,0.15506033172277184
network_physical,0.3,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.6914183497428894,0.0033177368441132966,11.906364932656288,0.1612951816318524
