experiment,scenario,factor,method,runs,conflict_class,qos_satisfaction_rate,infeasible_configuration_rate,false_alarm_rate,miss_rate,conflict_detection_rate,conflict_resolution_rate,safe_rejection_rate,unresolvable_safe_rejection_rate,unsafe_execution_rate,decision_rejection_rate,rollback_rate,safe_rollback_rate,timeout_rate,no_partial_commit_rate,coordination_latency_ms_mean,coordination_latency_ms_ci95,feasibility_latency_ms_mean,feasibility_latency_ms_ci95,transaction_latency_ms_mean,transaction_latency_ms_ci95,total_latency_ms_mean,total_latency_ms_ci95,peak_memory_mb_mean,peak_memory_mb_ci95,num_raw_combinations_mean,num_raw_combinations_ci95,num_pruned_combinations_mean,num_pruned_combinations_ci95,num_feasible_combinations_mean,num_feasible_combinations_ci95
noise,application_capacity,0.2,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0618677139282227,0.012098994050291896,1.9511605302492778,0.011959691661536964,11.889815703034401,0.17087324804328569,104.60559241473675,3.4773141516386685,0.01467425028483073,6.367122587698882e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,application_capacity,0.2,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.270103683074316,0.045573558698743945,13.08271549642086,0.04360690682213846,11.928151672085127,0.14990042471209894,114.15527289112408,0.27360516939171975,0.04795627593994141,0.0007612296998236344,81.0,0.0,0.0,0.0,4.0,0.0
noise,network_physical,0.0,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0290710031986237,0.0051924203401858705,1.919229452808698,0.0050909586944442725,11.897780497868856,0.1700503257625843,107.40512957175572,4.324574060189832,0.014850616455078125,5.446029813670819e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,network_physical,0.0,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.598037511110306,0.033639815854041286,13.389864936470985,0.03316295346313376,11.855083952347437,0.1561133699820638,116.84093723694484,0.297705704729484,0.07352848052978515,0.0001465067319142119,81.0,0.0,0.0,0.0,16.0,0.0
noise,network_physical,0.05,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.062507470448812,0.007772143757536346,1.9536659121513367,0.007732202572584432,11.992928509910902,0.25505622569865344,105.6268894424041,0.3427590642574793,0.014868895212809244,7.226428079266249e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,network_physical,0.05,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.530269513527552,0.05153605152514861,13.328581551710764,0.04841408204318029,11.870526149868965,0.14801493645208258,117.05043166875839,0.26700428272894966,0.06702588399251302,0.0036470142575748096,81.0,0.0,0.0,0.0,13.6,1.3343098952461245
noise,network_physical,0.1,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0730622112751007,0.011192698263089367,1.9636817276477814,0.011142937720261314,11.86600017050902,0.1625878252912826,105.60294849177201,0.32241114958860667,0.014863077799479167,5.34887826405338e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,network_physical,0.1,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.521875937779745,0.06233306149070833,13.323103884855906,0.05827829382189442,11.862995599706968,0.15082078386964584,117.05632867912452,0.29266521502495,0.06417624155680339,0.003930237694915438,81.0,0.0,0.0,0.0,12.533333333333333,1.4428525174019624
noise,network_physical,0.2,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0686892171700797,0.011696378523312068,1.9596438854932785,0.011278974211850278,11.848301316301027,0.16584158146981767,105.53987547755241,0.2850788441414671,0.014889780680338542,6.981353991371716e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,network_physical,0.2,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.485077147682508,0.03610659247524793,13.287675629059473,0.03267507786822305,11.866379901766777,0.153198579696544,117.10648126900196,0.2887443079548083,0.06430581410725912,0.0038190917426448308,81.0,0.0,0.0,0.0,12.533333333333333,1.4428525174019624
noise,transport_network,0.0,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9825346767902374,0.005897582115574694,1.8711434056361516,0.005640313372265187,11.889304965734482,0.1636175200070409,102.55831778049469,0.3046602467211316,0.014242935180664062,3.3754597615404004e-05,81.0,0.0,81.0,0.0,0.0,0.0
noise,transport_network,0.0,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.093559856216112,0.08925811420978108,13.755053530136744,0.07266240229588232,11.846467107534409,0.15333444006802488,114.6616380661726,0.2453449411204578,0.1467920939127604,0.008819056879953293,81.0,0.0,0.0,0.0,44.4,3.1570500416555394
noise,transport_network,0.05,adjacent,30,RESOLVABLE_CONFLICT,0.7,0.3,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.3,1.0,0.0,1.0,2.4650540202856064,0.2554081569686557,2.3550701638062796,0.2555660405132984,12.909195199608803,0.5043173368462133,106.46740136047204,1.8836034147663439,0.015071519215901693,0.0004663895439225601,81.0,0.0,81.0,0.0,0.0,0.0
noise,transport_network,0.05,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.84348219136397,3.64366467461119,15.542138243714968,3.6355965018503613,11.864424621065458,0.1540303920819939,116.87623721857865,3.6320536400868164,0.1231164296468099,0.014360360797955406,81.0,0.0,0.0,0.0,35.2,5.415102049536698
noise,transport_network,0.1,adjacent,30,RESOLVABLE_CONFLICT,0.5666666666666667,0.43333333333333335,0.0,0.0,1.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.43333333333333335,1.0,0.0,1.0,2.666861191391945,0.2732565338762647,2.556662013133367,0.27328452370200407,13.388263061642647,0.6822702548470856,108.12571110824744,2.3365014243503492,0.01537914276123047,0.00048685908086542777,81.0,0.0,81.0,0.0,0.0,0.0
noise,transport_network,0.1,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.972998162110647,0.11059064786453607,13.678613677620888,0.08651988483328542,11.852066094676653,0.16277417055357965,114.97167187432449,0.2987046440736199,0.11537275314331055,0.016514473683664432,81.0,0.0,0.0,0.0,32.3,6.232272890311394
noise,transport_network,0.2,adjacent,30,RESOLVABLE_CONFLICT,0.6333333333333333,0.36666666666666664,0.0,0.0,1.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.36666666666666664,1.0,0.0,1.0,2.5240844736496606,0.2637127128881041,2.413869028290113,0.26359874308328585,13.16764863828818,0.6411905081540601,107.26414111753304,2.1846037397203486,0.015183830261230468,0.00046811753951697633,81.0,0.0,81.0,0.0,0.0,0.0
noise,transport_network,0.2,proposed,30,RESOLVABLE_CONFLICT,0.9666666666666667,0.03333333333333333,0.0,0.0,1.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,1.0,14.004389444986979,0.09906714319736717,13.706026102105776,0.0765020386889833,11.964329332113266,0.2410373633924216,117.09773602584998,3.854986272199934,0.11968638102213541,0.01623705755410118,81.0,0.0,0.0,0.0,34.0,6.114142791018665
proposal_scale,proposal_scale,1,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7467598964770635,0.0016765251674846612,0.6580508003632227,0.0015984036902086372,0.0,0.0,0.8942984044551849,0.0019877993926227296,0.008453369140625,0.0,1.0,0.0,1.0,0.0,0.0,0.0
proposal_scale,proposal_scale,1,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4791383941968282,0.0015223257376730675,0.3849816819032033,0.0010480362049138938,0.0,0.0,0.5946256220340729,0.0016462566559630506,0.00740203857421875,2.9091706358205606e-05,1.0,0.0,0.0,0.0,0.0,0.0
proposal_scale,proposal_scale,2,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2112402667601903,0.002854393558097075,1.113546018799146,0.002798505787924,0.0,0.0,1.3636534412701924,0.003377215452131012,0.011465072631835938,0.0,16.0,0.0,16.0,0.0,0.0,0.0
proposal_scale,proposal_scale,2,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.872977281610171,0.005342897967547786,2.7558366457621255,0.00535189382075497,0.0,0.0,3.0059138933817544,0.005289589452813762,0.02547798156738281,2.9091706358205606e-05,16.0,0.0,0.0,0.0,0.0,0.0
proposal_scale,proposal_scale,3,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0192147543032966,0.005499424133395015,1.9091099500656128,0.0053411027222646686,0.0,0.0,2.167939394712448,0.0055266733020124074,0.014596939086914062,5.446029813670819e-05,81.0,0.0,81.0,0.0,0.0,0.0
