x,noise_ratio,method,mean,ci95,sample_count,infeasible_rate,false_alarm_rate,miss_rate,safe_rejection_rate
0,0.0,adjacent,1.0,0.0,90,0.0,0.0,0.0,0.0
0,0.0,proposed,1.0,0.0,90,0.0,0.0,0.0,0.0
0.05,0.05,adjacent,0.9,0.06232787534437398,90,0.1,0.0,0.0,0.0
0.05,0.05,proposed,1.0,0.0,90,0.0,0.0,0.0,0.0
0.1,0.1,adjacent,0.8555555555555555,0.0730357674837896,90,0.14444444444444443,0.0,0.0,0.0
0.1,0.1,proposed,1.0,0.0,90,0.0,0.0,0.0,0.0
0.2,0.2,adjacent,0.8777777777777778,0.06805004971486085,90,0.12222222222222222,0.0,0.0,0.0
0.2,0.2,proposed,0.9888888888888889,0.021777777777777778,90,0.011111111111111112,0.0,0.0,0.0
