experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,5.0,success_rate_percent,68.66666666666667,100.0,100.0,61.333333333333336,76.0,150,30,5000,103,150
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,10.0,success_rate_percent,15.333333333333334,0.0,100.0,10.0,21.333333333333332,150,30,5000,23,150
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,15.0,success_rate_percent,5.333333333333333,0.0,54.999999999998295,2.0,9.333333333333334,150,30,5000,8,150
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,20.0,success_rate_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,0,150
exp1,paper,state_churn,a1_agent_embedded,A1-Agent-Embedded*,state_churn_probability_percent,30.0,success_rate_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,0,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,5.0,success_rate_percent,97.33333333333333,100.0,100.0,94.66666666666667,99.33333333333333,150,30,5000,146,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,10.0,success_rate_percent,72.0,100.0,100.0,65.33333333333333,78.66666666666667,150,30,5000,108,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,15.0,success_rate_percent,53.333333333333336,100.0,100.0,44.666666666666664,61.333333333333336,150,30,5000,80,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,20.0,success_rate_percent,26.666666666666668,0.0,100.0,19.333333333333332,34.666666666666664,150,30,5000,40,150
exp1,paper,state_churn,cspf,CSPF,state_churn_probability_percent,30.0,success_rate_percent,6.0,0.0,100.0,1.983333333333339,11.333333333333334,150,30,5000,9,150
exp1,paper,state_churn,proposed,Proposed,state_churn_probability_percent,0.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp1,paper,state_churn,proposed,Proposed,state_churn_probability_percent,5.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp1,paper,state_churn,proposed,Proposed,state_churn_probability_percent,10.0,success_rate_percent,99.33333333333333,100.0,100.0,98.0,100.0,150,30,5000,149,150
