task_size,num_agents,component,mean_ms,ci95_ms,sample_count
Small,10,Mapping,0.2066000054279963,0.0032561132644537663,30
Small,10,Cross-Layer Coordination,1.4966660489638646,0.01119004226387487,30
Small,10,Compilation,0.6907325237989426,0.0077544721891858286,30
Small,10,Installation,9.661922603845596,0.16731816484301312,30
Small,10,Activation,0.7162452985843023,0.004356745890959765,30
Small,10,Verification,2.216170479853948,0.033132768663605996,30
Medium,40,Mapping,0.7424725840489069,0.001520026665964739,30
Medium,40,Cross-Layer Coordination,6.231118117769559,0.4123680830950673,30
Medium,40,Compilation,1.6892323891321819,0.019288157263542282,30
Medium,40,Installation,26.68583244085312,0.3631924121991104,30
Medium,40,Activation,1.4739744365215302,0.008446049636681278,30
Medium,40,Verification,8.608123535911242,0.05156611619509455,30
Large,80,Mapping,1.462329551577568,0.0022915438249977186,30
Large,80,Cross-Layer Coordination,14.499823997418085,0.021287838359971247,30
Large,80,Compilation,3.563360497355461,0.6527056134608104,30
Large,80,Installation,52.21995164950689,0.5734557886060764,30
Large,80,Activation,2.7702726423740387,0.01723334643481824,30
Large,80,Verification,23.835214724143345,0.6905272895970863,30
