num_agents,series,mean_ms,ci95_ms,sample_count,verification_scope,contains_ping,contains_iperf3,verification_mean_ms,verification_share_percent
10,t_form,14.98833696047465,0.20494588643688635,30,in_memory_transactional_business_edge_verifier,False,False,2.216170479853948,14.78596648646313
10,t_ctrl,2.3939985781908035,0.017147412038926117,30,in_memory_transactional_business_edge_verifier,False,False,2.216170479853948,14.78596648646313
20,t_form,22.465377921859425,0.29771758235759865,30,in_memory_transactional_business_edge_verifier,False,False,3.692595660686493,16.43682858810711
20,t_ctrl,4.043646032611529,0.014242021616724559,30,in_memory_transactional_business_edge_verifier,False,False,3.692595660686493,16.43682858810711
40,t_form,45.43075350423654,0.5166901597550051,30,in_memory_transactional_business_edge_verifier,False,False,8.608123535911242,18.947789486054884
40,t_ctrl,8.662823090950647,0.40697886909392234,30,in_memory_transactional_business_edge_verifier,False,False,8.608123535911242,18.947789486054884
60,t_form,70.3314113120238,0.7587284270600901,30,in_memory_transactional_business_edge_verifier,False,False,15.098717560370764,21.467957600602706
60,t_ctrl,13.801146919528643,0.6610124556902812,30,in_memory_transactional_business_edge_verifier,False,False,15.098717560370764,21.467957600602706
80,t_form,98.35095306237538,1.2420308706150418,30,in_memory_transactional_business_edge_verifier,False,False,23.835214724143345,24.234858923051572
80,t_ctrl,19.525514046351116,0.6604121489519733,30,in_memory_transactional_business_edge_verifier,False,False,23.835214724143345,24.234858923051572
