experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,10.0,rule_change_ratio_percent,7.782712615634993,7.4074074074074066,13.901069518716568,7.282051748194419,8.330540597215188,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,10.0,success_rate_percent,28.0,0.0,100.0,20.0,36.0,150,30,5000,42,150
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,10.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,20.0,gateway_change_ratio_percent,34.55555555555556,33.33333333333333,50.0,32.333333333333336,36.77777777777778,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,20.0,reconfiguration_latency_ms,7.715770503236111,7.72718628,8.42687897875,7.54964767981798,7.862087477620571,30,13,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,20.0,rule_change_ratio_percent,17.540829713542518,17.13849016480595,25.0,16.413554892607895,18.720164445460824,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,20.0,success_rate_percent,20.0,0.0,100.0,10.666666666666666,30.666666666666668,150,30,5000,30,150
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,20.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,30.0,gateway_change_ratio_percent,38.666666666666664,33.33333333333333,50.0,37.16666666666666,40.166666666666664,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,30.0,reconfiguration_latency_ms,8.373778060357143,8.422108993750001,8.8173516175,8.30508430357143,8.448648676666668,14,6,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,30.0,rule_change_ratio_percent,25.62753572639754,25.0,34.073984232868405,24.164278237683096,27.177503286750245,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,30.0,success_rate_percent,9.333333333333334,0.0,100.0,2.6666666666666665,16.683333333333092,150,30,5000,14,150
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,30.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,40.0,gateway_change_ratio_percent,44.99999999999999,50.0,58.333333333333336,42.94444444444445,47.05555555555556,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,40.0,reconfiguration_latency_ms,8.88625268826923,8.884347799999999,9.3619478,8.7194530875,8.99050243875,13,4,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,40.0,rule_change_ratio_percent,35.00382044279747,34.11862527716186,46.87841850289107,33.40049015699554,36.58082929837595,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,40.0,success_rate_percent,8.666666666666666,0.0,100.0,1.3333333333333333,18.0,150,30,5000,13,150
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,40.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,50.0,gateway_change_ratio_percent,47.777777777777786,50.0,58.333333333333336,45.498611111111096,50.111111111111114,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,50.0,reconfiguration_latency_ms,9.389789968125,9.376231489999999,9.6997305015,9.225481558333334,9.566804079999999,8,4,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,50.0,rule_change_ratio_percent,42.709787345042855,42.11401952085182,54.31498978549538,40.81720667255085,44.628524725008695,150,30,5000,,
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,50.0,success_rate_percent,5.333333333333333,0.0,54.999999999998295,0.6666666666666666,11.333333333333334,150,30,5000,8,150
exp3,paper,affected_scope,local_only,Local-Only,affected_scope_ratio_percent,50.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,10.0,gateway_change_ratio_percent,37.05555555555555,33.33333333333333,58.333333333333336,34.72222222222223,39.333333333333336,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,10.0,reconfiguration_latency_ms,12.299427977661113,12.512655258333336,14.010427383333333,12.10844630301979,12.498629315005555,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,10.0,rule_change_ratio_percent,62.35322966002697,64.0575283186967,89.83592951991828,59.567759498401905,65.39951750846396,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,10.0,unaffected_disturbance_ratio_percent,78.76460402342755,83.0952380952381,100.0,75.19066682228447,82.05937038451744,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,20.0,gateway_change_ratio_percent,50.388888888888886,50.0,83.33333333333334,45.833333333333336,55.11111111111109,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,20.0,reconfiguration_latency_ms,13.195902969980555,13.157120422916666,15.025536300416666,12.904607614127292,13.479033724505209,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,20.0,rule_change_ratio_percent,78.39296397392151,81.9090909090909,100.11938202247187,74.08364656344718,82.42019465546898,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,20.0,unaffected_disturbance_ratio_percent,88.12672104807811,93.33333333333333,100.0,84.45017936596217,91.43253653751081,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,30.0,gateway_change_ratio_percent,59.11111111111111,58.333333333333336,83.33333333333334,55.5,62.94444444444445,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,30.0,reconfiguration_latency_ms,13.662360052847221,13.665917762500001,14.980457716666665,13.455130790736808,13.87577206036632,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,30.0,rule_change_ratio_percent,87.26150500939904,88.83219954648526,100.0,84.41439712158697,89.86590450470351,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,30.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,30.0,unaffected_disturbance_ratio_percent,93.03709673043008,96.29629629629629,100.0,90.55964984398318,95.43036535069868,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,40.0,gateway_change_ratio_percent,64.66666666666667,66.66666666666666,83.33333333333334,60.833333333333336,68.55694444444443,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,40.0,reconfiguration_latency_ms,13.899159811672222,13.952381533333334,14.966245280416667,13.67793179069771,14.112512001833615,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,40.0,rule_change_ratio_percent,91.86493751937849,94.35010214504597,103.17682317682318,89.12844785455607,94.26883827883616,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,40.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,40.0,unaffected_disturbance_ratio_percent,94.05436351088525,100.0,100.0,91.06824769433464,96.61534757513016,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,50.0,gateway_change_ratio_percent,68.83333333333331,66.66666666666666,91.66666666666666,64.55555555555556,73.11111111111111,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,50.0,reconfiguration_latency_ms,14.079627581441667,14.078125600000002,15.19446753375,13.873177225346598,14.292002249088611,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,50.0,rule_change_ratio_percent,95.56246097219334,97.82608695652173,103.62244897959182,93.34518234937258,97.48836500856532,150,30,5000,,
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,50.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,netren,NetRen*,affected_scope_ratio_percent,50.0,unaffected_disturbance_ratio_percent,95.60506822612086,100.0,100.0,92.41392787524367,98.12497076023392,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,10.0,gateway_change_ratio_percent,37.05555555555555,33.33333333333333,58.333333333333336,34.72222222222222,39.33333333333333,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,10.0,reconfiguration_latency_ms,8.40936600491111,8.399267529166668,9.12031750375,8.33563661799785,8.485549372129652,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,10.0,rule_change_ratio_percent,10.345879799394057,9.876543209876543,19.026143790849666,9.660774431768692,11.022605818368033,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,10.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,10.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,20.0,gateway_change_ratio_percent,50.388888888888886,50.0,83.33333333333334,45.94444444444445,55.38888888888888,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,20.0,reconfiguration_latency_ms,9.202588195502779,9.18224570625,9.866747600104166,9.112221845692432,9.298067513236111,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,20.0,rule_change_ratio_percent,22.08949128245446,21.744282497926296,31.76470588235294,20.94649181631827,23.23612710099702,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,20.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,20.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,30.0,gateway_change_ratio_percent,59.11111111111111,58.333333333333336,83.33333333333334,55.5,62.777777777777786,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,30.0,reconfiguration_latency_ms,9.82220724643889,9.796344659375,10.511407716666668,9.729803142992361,9.915129386234305,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,30.0,rule_change_ratio_percent,32.516133390359514,32.098765432098766,43.5429127834191,31.392946211127835,33.63709211986913,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,30.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,30.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,40.0,gateway_change_ratio_percent,64.66666666666667,66.66666666666666,83.33333333333334,60.77777777777777,68.55555555555554,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,40.0,reconfiguration_latency_ms,10.47998926028611,10.497034848958332,11.12826188875,10.366032716649652,10.591484398631527,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,40.0,rule_change_ratio_percent,42.9695645434529,42.40777338603425,52.94117647058824,41.829693157819676,44.138650621768285,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,40.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,40.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,50.0,gateway_change_ratio_percent,68.83333333333331,66.66666666666666,91.66666666666666,64.77638888888887,73.16666666666667,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,50.0,reconfiguration_latency_ms,11.039490076761112,11.023616165625002,11.718525752395832,10.913900487708057,11.168607684064167,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,50.0,rule_change_ratio_percent,52.65063426402232,53.086419753086425,61.9270015698587,51.17376149618974,54.072334114599116,150,30,5000,,
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,50.0,success_rate_percent,100.0,100.0,100.0,100.0,100.0,150,30,5000,150,150
exp3,paper,affected_scope,proposed,Proposed,affected_scope_ratio_percent,50.0,unaffected_disturbance_ratio_percent,0.0,0.0,0.0,0.0,0.0,150,30,5000,,
