run_id,seed,scenario,method,result_mode,scenario_fingerprint,fault_fingerprint,fault_type,fault_target,fault_level,fault_severity,fault_effective_at,failure_detected_at,num_agents,num_edges,num_gateways,old_version,new_version,detection_latency_ms,localization_latency_ms,proposal_latency_ms,coordination_latency_ms,feasibility_latency_ms,delta_compile_latency_ms,stage_latency_ms,activation_latency_ms,verification_latency_ms,reconfiguration_latency_ms,repair_latency_ms,recovery_latency_ms,failure_handling_ms,service_interruption_ms,recovery_success,qos_recovered,safe_rejection,pre_execution_feasibility_checked,post_execution_verification_success,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,changed_agents,changed_sessions,changed_routes,changed_physical_bindings,changed_rules,rule_change_ratio,gateway_impact_ratio,unaffected_edges,unaffected_edges_interrupted,collateral_interruption_rate,collateral_interruption_ms,collateral_latency_change_ms,collateral_packet_loss_change,packet_loss_during_recovery,throughput_before,throughput_during,throughput_after,latency_before,latency_during,latency_after,rollback_triggered,rollback_success,residual_rules,control_messages,control_bytes,selected_actions,selected_layers,transaction_executor,verifier_mode,stable_versions_consistent,staged_rules_empty,service_recovered_at,stage_started_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at,success,failure_reason
AGENT_FAILURE:transport:seed=8:method=no_verification_rollback,8,AGENT_FAILURE:transport,no_verification_rollback,in_memory_transactional_control_plane_simulation,f04e79446d6df51c6a1cefa17123fefcce9dc9ae24a0c33c4abc00b57e640856,2175264581e86199932618d916fc0099c1de1ed8c605858a81aa7a287d51a13a,AGENT_FAILURE,tagent-gw-02,transport,1.0,1081.0,1081.15,20,30,4,1,2,150.00000000009095,0.1726001501083374,0.1920163631439209,4.313256591558456,0.0010281801223754883,0.33286958932876587,14.382045716047287,1.3619549572467804,3.022190183401108,18.264349550008774,0.0,0.0,0.0,0.0,False,False,False,False,False,9,3,3,3,3,5,2,3,0,45,7,0.1111111111111111,0.75,27,0,0.0,0.0,0.0,0.0,0.001,1.5,0.0,0.0,13.0,13.0,13.0,False,False,0,32,91903,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,structural_only_then_external_fault_verifier,True,True,0.0,1081.1559015564621,1081.1741659060121,1081.1753794938327,0.0,False,post_execution_qos_verification_failed
AGENT_FAILURE:transport:seed=9:method=network_only,9,AGENT_FAILURE:transport,network_only,in_memory_transactional_control_plane_simulation,a2249cc7490a934a04018f75700172a63ab0bb275bb4253f2a8c7dd2dcf8dda4,1afa8cffe0b70a7fafcf1aaf7e3f1f17080c71036711a8e39286590d3d9c5430,AGENT_FAILURE,tagent-gw-00,transport,1.0,1091.0,1091.15,20,30,4,1,1,150.00000000009095,0.2955198287963867,0.23141875863075256,0.003904104232788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,14,8,8,8,4,13,0,0,0,0,0,0.0,1.0,22,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:transport:seed=9:method=no_scope,9,AGENT_FAILURE:transport,no_scope,in_memory_transactional_control_plane_simulation,a7a45218c462a68dcdfdd5e1a40e9435bf1eca580e289a2e9561ba5fbf39d461,b6957cdd253d340fe0786ad6e611f52b2530ad6403f7206c8dbec89ce12530a2,AGENT_FAILURE,tagent-gw-00,transport,1.0,1091.0,1091.15,20,30,4,1,1,150.00000000009095,0.2623535692691803,0.191468745470047,4.098284989595413,0.36977604031562805,0.2966783940792084,13.468321412801743,0.0,1.9599087536334991,0.0,0.0,0.0,172.5339494646505,0.0,False,False,False,True,False,32,30,30,30,4,45,2,8,0,45,16,0.2962962962962963,1.0,22,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,True,True,0,32,83099,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,in_memory_fault_aware,True,True,0.0,1091.1559193260969,0.0,0.0,1091.1725339494647,False,staged verification failed: business_qos_verification_failed
AGENT_FAILURE:transport:seed=9:method=no_verification_rollback,9,AGENT_FAILURE:transport,no_verification_rollback,in_memory_transactional_control_plane_simulation,a7a45218c462a68dcdfdd5e1a40e9435bf1eca580e289a2e9561ba5fbf39d461,b6957cdd253d340fe0786ad6e611f52b2530ad6403f7206c8dbec89ce12530a2,AGENT_FAILURE,tagent-gw-00,transport,1.0,1091.0,1091.15,20,30,4,1,2,150.00000000009095,0.1777932047843933,0.19180774688720703,4.21784445643425,0.0009872019290924072,0.2937391400337219,13.502035290002823,1.2188069522380829,2.8016455471515656,16.934651881456375,0.0,0.0,0.0,0.0,False,False,False,False,False,14,8,8,8,4,13,2,8,0,45,16,0.2962962962962963,1.0,22,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,False,False,0,32,90881,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,structural_only_then_external_fault_verifier,True,True,0.0,1091.1555821277202,1091.1725167796017,1091.1736317664386,0.0,False,post_execution_qos_verification_failed
AGENT_FAILURE:transport:seed=10:method=network_only,10,AGENT_FAILURE:transport,network_only,in_memory_transactional_control_plane_simulation,e282519aaeb96b4b99bf694c4afa542bb7697aa78c7643f20970466d2399aed6,171c48e1ecd54d28ec2298a430a26ed8010c5fd9d8e1ca6efa4abc1b775c0d65,AGENT_FAILURE,tagent-gw-01,transport,1.0,1101.0,1101.15,20,30,4,1,1,150.00000000009095,0.18971413373947144,0.19760802388191223,0.0036545097827911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,15,12,12,12,4,19,0,0,0,0,0,0.0,1.0,18,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:transport:seed=10:method=no_scope,10,AGENT_FAILURE:transport,no_scope,in_memory_transactional_control_plane_simulation,f7b823e2d5ecaec81e9a23347ae48ffd498121cea44821948b0786ea77b862e4,8f14aafd4af881d6c2f83adebf89747c7611ed3e693f504cce1e3f43eca5b4e2,AGENT_FAILURE,tagent-gw-01,transport,1.0,1101.0,1101.15,20,30,4,1,1,150.00000000009095,0.27079880237579346,0.1928173005580902,4.134904593229294,0.3704242408275604,0.3238171339035034,15.593990683555603,0.0,2.0274370908737183,0.0,0.0,0.0,174.59128201016938,0.0,False,False,False,True,False,32,30,30,30,4,45,2,12,0,45,26,0.4482758620689655,1.0,18,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,True,True,0,32,100225,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,in_memory_fault_aware,True,True,0.0,1101.155909599364,0.0,0.0,1101.1745912820102,False,staged verification failed: business_qos_verification_failed
AGENT_FAILURE:transport:seed=10:method=no_verification_rollback,10,AGENT_FAILURE:transport,no_verification_rollback,in_memory_transactional_control_plane_simulation,f7b823e2d5ecaec81e9a23347ae48ffd498121cea44821948b0786ea77b862e4,8f14aafd4af881d6c2f83adebf89747c7611ed3e693f504cce1e3f43eca5b4e2,AGENT_FAILURE,tagent-gw-01,transport,1.0,1101.0,1101.15,20,30,4,1,2,150.00000000009095,0.18425285816192627,0.1938343048095703,4.096232354640961,0.000994652509689331,0.321120023727417,15.543647110462189,1.1885054409503937,2.8891079127788544,18.905624747276306,0.0,0.0,0.0,0.0,False,False,False,False,False,15,12,12,12,4,19,2,12,0,45,26,0.4482758620689655,1.0,18,0,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,13.0,13.0,13.0,False,False,0,32,108591,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,structural_only_then_external_fault_verifier,True,True,0.0,1101.1554021701218,1101.174307794869,1101.1754621431232,0.0,False,post_execution_qos_verification_failed
AGENT_FAILURE:transport:seed=11:method=network_only,11,AGENT_FAILURE:transport,network_only,in_memory_transactional_control_plane_simulation,2a2f76c67588c58d225abdb735344929ad0bf9881ab28e41cd478937f30f4c02,5f3cd2fc8eee4e93b0cd7b660cb6b22c045e8d30e88842d32c2e9ad2b42225af,AGENT_FAILURE,tagent-gw-00,transport,1.0,1111.0,1111.15,20,30,4,1,1,150.00000000009095,0.19294768571853638,0.196848064661026,0.003509223461151123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,18,11,11,11,4,18,0,0,0,0,0,0.0,1.0,19,0,0.0,0.0,0.0,0.0,0.001,1.5,0.0,0.0,13.0,13.0,13.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:transport:seed=11:method=no_scope,11,AGENT_FAILURE:transport,no_scope,in_memory_transactional_control_plane_simulation,161dc191f8f3c8aa261aef8332dda9592540509b22d5889ff03ab6951d1646a5,cdb57fd9a070d7fb02bfb2584796ff0ae8db48e3e3f5ec996069ea5b71f07206,AGENT_FAILURE,tagent-gw-00,transport,1.0,1111.0,1111.15,20,30,4,1,1,150.00000000009095,0.27273595333099365,0.19381940364837646,4.157006740570068,0.37129223346710205,0.3258511424064636,15.975981950759888,0.0,2.0262226462364197,0.0,0.0,0.0,175.07727593192612,0.0,False,False,False,True,False,32,30,30,30,4,45,2,11,0,45,27,0.4576271186440678,1.0,19,0,0.0,0.0,0.0,0.0,0.001,1.5,0.0,0.0,13.0,13.0,13.0,True,True,0,32,102848,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,in_memory_fault_aware,True,True,0.0,1111.1559708841146,0.0,0.0,1111.175077275932,False,staged verification failed: business_qos_verification_failed
AGENT_FAILURE:transport:seed=11:method=no_verification_rollback,11,AGENT_FAILURE:transport,no_verification_rollback,in_memory_transactional_control_plane_simulation,161dc191f8f3c8aa261aef8332dda9592540509b22d5889ff03ab6951d1646a5,cdb57fd9a070d7fb02bfb2584796ff0ae8db48e3e3f5ec996069ea5b71f07206,AGENT_FAILURE,tagent-gw-00,transport,1.0,1111.0,1111.15,20,30,4,1,2,150.00000000009095,0.18559768795967102,0.1924857497215271,4.134468734264374,0.001039355993270874,0.3256797790527344,15.933521091938019,1.2008622288703918,2.8981193900108337,19.35514807701111,0.0,0.0,0.0,0.0,False,False,False,False,False,18,11,11,11,4,18,2,11,0,45,27,0.4576271186440678,1.0,19,0,0.0,0.0,0.0,0.0,0.001,1.5,0.0,0.0,13.0,13.0,13.0,False,False,0,32,111353,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;KEEP_RESOURCE,transport,TransactionExecutor,structural_only_then_external_fault_verifier,True,True,0.0,1111.1554790042342,1111.1748341523112,1111.175984209031,0.0,False,post_execution_qos_verification_failed
