run_id,seed,scenario,method,result_mode,scenario_fingerprint,fault_fingerprint,fault_type,fault_target,fault_level,fault_severity,fault_effective_at,failure_detected_at,num_agents,num_edges,num_gateways,old_version,new_version,detection_latency_ms,localization_latency_ms,proposal_latency_ms,coordination_latency_ms,feasibility_latency_ms,delta_compile_latency_ms,stage_latency_ms,activation_latency_ms,verification_latency_ms,reconfiguration_latency_ms,repair_latency_ms,recovery_latency_ms,failure_handling_ms,service_interruption_ms,recovery_success,qos_recovered,safe_rejection,pre_execution_feasibility_checked,post_execution_verification_success,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,changed_agents,changed_sessions,changed_routes,changed_physical_bindings,changed_rules,rule_change_ratio,gateway_impact_ratio,unaffected_edges,unaffected_edges_interrupted,collateral_interruption_rate,collateral_interruption_ms,collateral_latency_change_ms,collateral_packet_loss_change,packet_loss_during_recovery,throughput_before,throughput_during,throughput_after,latency_before,latency_during,latency_after,rollback_triggered,rollback_success,residual_rules,control_messages,control_bytes,selected_actions,selected_layers,transaction_executor,verifier_mode,stable_versions_consistent,staged_rules_empty,service_recovered_at,stage_started_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at,success,failure_reason
AGENT_FAILURE:application_different_gateway:seed=10:method=full_rebuild,10,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,1b7037b5ab700af428954d541fa90844639aa1f4957f07bdc946904d9d2a69d9,b1880a97fcce2fec3e86272a8902d6982a7df2d79b2be7687c1b6ffab944e53d,AGENT_FAILURE,agent-010,application_different_gateway,1.0,1101.0,1101.15,20,30,4,1,2,150.00000000009095,0.17659738659858704,0.20755454897880554,4.357155412435532,0.370759516954422,0.2995729446411133,20.1423242688179,1.3427101075649261,3.486417233943939,24.250395596027374,132.22538903346504,282.225389033556,0.0,282.225389033556,True,True,False,True,True,33,30,30,30,4,47,7,3,3,47,63,1.0862068965517242,1.0,27,0,0.0,0.0,0.0,0.0,0.001,3.75,0.0,3.75,7.666666666666667,7.666666666666667,9.0,False,False,0,32,178046,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1101.2822253890336,1101.1565357647837,1101.1807861603797,1101.1822253890336,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=10:method=network_only,10,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,1b7037b5ab700af428954d541fa90844639aa1f4957f07bdc946904d9d2a69d9,b1880a97fcce2fec3e86272a8902d6982a7df2d79b2be7687c1b6ffab944e53d,AGENT_FAILURE,agent-010,application_different_gateway,1.0,1101.0,1101.15,20,30,4,1,1,150.00000000009095,0.17493218183517456,0.2072937786579132,0.003505498170852661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,8,3,3,3,3,4,0,0,0,0,0,0.0,0.75,27,0,0.0,0.0,0.0,0.0,0.001,3.75,0.0,0.0,7.666666666666667,7.666666666666667,7.666666666666667,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=10:method=proposed,10,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,1b7037b5ab700af428954d541fa90844639aa1f4957f07bdc946904d9d2a69d9,b1880a97fcce2fec3e86272a8902d6982a7df2d79b2be7687c1b6ffab944e53d,AGENT_FAILURE,agent-010,application_different_gateway,1.0,1101.0,1101.15,20,30,4,1,2,150.00000000009095,0.17513707280158997,0.20337849855422974,4.300866276025772,0.36955997347831726,0.30226632952690125,13.703905045986176,1.3230778276920319,3.512836992740631,17.73574948310852,125.40393546214545,275.4039354622364,0.0,275.4039354622364,True,True,False,True,True,8,3,3,3,3,4,7,3,3,47,10,0.1724137931034483,0.75,27,0,0.0,0.0,0.0,0.0,0.001,3.75,0.0,3.75,7.666666666666667,7.666666666666667,9.0,False,False,0,32,104425,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1101.2754039354622,1101.1561921775342,1101.1739279270173,1101.1754039354623,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=11:method=full_rebuild,11,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,c10e7a8827fce2d07d33014ece27e6c88b67c66b223cf402d6b298f8a29fcfaf,e11dc47c0e1fbb54f4b9a40aa9f9893c1be97efc4189d627b79a94de51f5d720,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1111.0,1111.15,20,30,4,1,2,150.00000000009095,0.1843869686126709,0.21919608116149902,4.338763654232025,0.3718063235282898,0.2791993319988251,20.68610116839409,1.3193264603614807,3.4197643399238586,24.61116760969162,132.46831893911803,282.468318939209,0.0,282.468318939209,True,True,False,True,True,33,30,30,30,4,50,9,6,6,50,70,1.1864406779661016,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.25,0.0,7.25,11.666666666666666,11.666666666666666,9.666666666666666,False,False,0,32,183555,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1111.2824683189392,1111.156439343095,1111.1810505107046,1111.1824683189393,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=11:method=network_only,11,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,c10e7a8827fce2d07d33014ece27e6c88b67c66b223cf402d6b298f8a29fcfaf,e11dc47c0e1fbb54f4b9a40aa9f9893c1be97efc4189d627b79a94de51f5d720,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1111.0,1111.15,20,30,4,1,1,150.00000000009095,0.18299371004104614,0.22122636437416077,0.0037178397178649902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,15,6,6,6,4,10,0,0,0,0,0,0.0,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.25,0.0,0.0,11.666666666666666,11.666666666666666,11.666666666666666,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=11:method=proposed,11,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,c10e7a8827fce2d07d33014ece27e6c88b67c66b223cf402d6b298f8a29fcfaf,e11dc47c0e1fbb54f4b9a40aa9f9893c1be97efc4189d627b79a94de51f5d720,AGENT_FAILURE,agent-004,application_different_gateway,1.0,1111.0,1111.15,20,30,4,1,2,150.00000000009095,0.18266215920448303,0.21861866116523743,4.301667213439941,0.3717094659805298,0.29234588146209717,15.533063560724258,1.5683919191360474,3.4228451550006866,19.68981698155403,127.22856029859031,277.22856029868126,0.0,277.22856029868126,True,True,False,True,True,15,6,6,6,4,10,9,6,6,50,27,0.4576271186440678,1.0,24,0,0.0,0.0,0.0,0.0,0.001,7.25,0.0,7.25,11.666666666666666,11.666666666666666,9.666666666666666,False,False,0,32,124016,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1111.2772285602987,1111.1561126239599,1111.1758024409414,1111.1772285602988,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=12:method=full_rebuild,12,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,b6a04a9a5fd8b2483fc20966b14bdbe1860ce76e14bdc596496cfeafdeb8332d,8e7217dd7b11f92038647ed2f1e481c6fe12892f5dfd81d503663ea45c562ef8,AGENT_FAILURE,agent-000,application_different_gateway,1.0,1121.0,1121.15,20,30,4,1,2,150.00000000009095,0.2513378858566284,0.23043155670166016,4.530999809503555,0.3678835928440094,0.3050006926059723,18.22001114487648,1.2641027569770813,3.2745525240898132,22.059213370084763,130.2635952829405,280.26359528303146,0.0,280.26359528303146,True,True,False,True,True,33,30,30,30,4,46,7,2,2,46,57,1.0555555555555556,1.0,28,0,0.0,0.0,0.0,0.0,0.001,2.25,0.0,2.25,13.0,13.0,7.0,False,False,0,32,157119,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1121.280263595283,1121.1568678408862,1121.1789270542563,1121.1802635952831,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=12:method=network_only,12,AGENT_FAILURE:application_different_gateway,network_only,in_memory_transactional_control_plane_simulation,b6a04a9a5fd8b2483fc20966b14bdbe1860ce76e14bdc596496cfeafdeb8332d,8e7217dd7b11f92038647ed2f1e481c6fe12892f5dfd81d503663ea45c562ef8,AGENT_FAILURE,agent-000,application_different_gateway,1.0,1121.0,1121.15,20,30,4,1,1,150.00000000009095,0.17207860946655273,0.20120292901992798,0.0038258731365203857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,8,2,2,2,3,4,0,0,0,0,0,0.0,0.75,28,0,0.0,0.0,0.0,0.0,0.001,2.25,0.0,0.0,13.0,13.0,13.0,False,False,0,0,0,SWITCH_ROUTE,network,TransactionExecutor,in_memory_fault_aware,True,True,0.0,0.0,0.0,0.0,0.0,False,UNRESOLVABLE_BY_NETWORK_ONLY:cross-layer action required
AGENT_FAILURE:application_different_gateway:seed=12:method=proposed,12,AGENT_FAILURE:application_different_gateway,proposed,in_memory_transactional_control_plane_simulation,b6a04a9a5fd8b2483fc20966b14bdbe1860ce76e14bdc596496cfeafdeb8332d,8e7217dd7b11f92038647ed2f1e481c6fe12892f5dfd81d503663ea45c562ef8,AGENT_FAILURE,agent-000,application_different_gateway,1.0,1121.0,1121.15,20,30,4,1,2,150.00000000009095,0.17102807760238647,0.1995973289012909,4.15671244263649,0.3678463399410248,0.2736523747444153,12.167353183031082,1.261889934539795,3.2739974558353424,16.28510281443596,123.63708615293945,273.6370861530304,0.0,273.6370861530304,True,True,False,True,True,8,2,2,2,3,4,7,2,2,46,9,0.16666666666666666,0.75,28,0,0.0,0.0,0.0,0.0,0.001,2.25,0.0,2.25,13.0,13.0,7.0,False,False,0,32,90716,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1121.273637086153,1121.1560095861555,1121.17229468897,1121.1736370861531,0.0,True,
AGENT_FAILURE:application_different_gateway:seed=13:method=full_rebuild,13,AGENT_FAILURE:application_different_gateway,full_rebuild,in_memory_transactional_control_plane_simulation,86429cda101c2ccbac4a67eb582adbdcf201e9922c8702c4dd42a562637ce346,36c9105a3f7dd2d20a9e59f75bcba676968bb1c6a8828ecf90c37c1460ace05a,AGENT_FAILURE,agent-002,application_different_gateway,1.0,1131.0,1131.15,20,30,4,1,2,150.00000000009095,0.18181279301643372,0.21590664982795715,4.43500280380249,0.3691166639328003,0.3143921494483948,22.66928181052208,1.3844594359397888,3.709942102432251,26.92079171538353,135.07010638704742,285.07010638713837,0.0,285.07010638713837,True,True,False,True,True,33,30,30,30,4,50,7,5,5,50,73,1.1774193548387097,1.0,25,0,0.0,0.0,0.0,0.0,0.001,6.0,0.0,6.0,9.8,9.8,13.0,False,False,0,32,203517,ACTIVATE_SUBSTITUTE;REBIND_SESSION;SWITCH_ROUTE;SWITCH_ACCESS,application;network;physical;transport,TransactionExecutor,in_memory_fault_aware,True,True,1131.2850701063871,1131.1566321752966,1131.183552967012,1131.1850701063872,0.0,True,
