experiment,mode,trial_id,seed,event_id,method_id,method_label,method_source,adapted,topology_fingerprint,scenario_fingerprint,qos_fingerprint,event_fingerprint,series,result_mode,task_received_at,event_occurred_at,stable_verify_finished_at,task_size,num_dag_edges,num_gateways,state_churn_probability,conflict_density,conflict_type,ground_truth_feasible,business_change_type,affected_scope_ratio,affected_scope_bucket_percent,failure_type,failure_severity,formation_latency_ms,resolution_latency_ms,reconfiguration_latency_ms,recovery_latency_ms,success,qos_satisfied,safe_rejection,failure_reason,total_rules,changed_rules,rule_change_ratio,total_gateways,changed_gateways,gateway_change_ratio,total_flows,unaffected_flows,disturbed_unaffected_flows,unaffected_disturbance_ratio,control_messages,control_bytes,rollback_count,stale_state_detected
exp1,paper,exp1:state_churn:0:seed:0001:event:000,1,0,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,2bea9078b7da64f0dbbb832ea9115db0ee7ff5e6907c9ad4d1f6580b53444f73,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:000,1,0,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,2bea9078b7da64f0dbbb832ea9115db0ee7ff5e6907c9ad4d1f6580b53444f73,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:001,1,1,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.23894055810166662,24,38,12,0.0,,,,,,,,,238.94055810166662,,,,True,True,,,76,,,12,,,38,,,,532,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:001,1,1,cspf,CSPF,CSPF,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.11505179656166672,24,38,12,0.0,,,,,,,,,115.05179656166672,,,,True,True,,,76,,,12,,,38,,,,324,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:001,1,1,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:001,1,1,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,907492c0346fffea641b9c1e48aaf33367a3055f542bda9815d8b184c816903a,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:002,1,2,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,184921f8895e3a6b85b2900b092d042413325fbfef4dc4d5df0c2774dc971ca0,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.23894055810166662,24,38,12,0.0,,,,,,,,,238.94055810166662,,,,True,True,,,76,,,12,,,38,,,,532,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:002,1,2,cspf,CSPF,CSPF,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,184921f8895e3a6b85b2900b092d042413325fbfef4dc4d5df0c2774dc971ca0,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.11505179656166672,24,38,12,0.0,,,,,,,,,115.05179656166672,,,,True,True,,,76,,,12,,,38,,,,324,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:002,1,2,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,184921f8895e3a6b85b2900b092d042413325fbfef4dc4d5df0c2774dc971ca0,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:002,1,2,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,184921f8895e3a6b85b2900b092d042413325fbfef4dc4d5df0c2774dc971ca0,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:003,1,3,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,984cd7a44dccd70fbefe41e65d2d36dbe0b23fa860b297bb88efc93dd933faa7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.23894055810166662,24,38,12,0.0,,,,,,,,,238.94055810166662,,,,True,True,,,76,,,12,,,38,,,,532,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:003,1,3,cspf,CSPF,CSPF,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,984cd7a44dccd70fbefe41e65d2d36dbe0b23fa860b297bb88efc93dd933faa7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.11505179656166672,24,38,12,0.0,,,,,,,,,115.05179656166672,,,,True,True,,,76,,,12,,,38,,,,324,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:003,1,3,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,984cd7a44dccd70fbefe41e65d2d36dbe0b23fa860b297bb88efc93dd933faa7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:003,1,3,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,984cd7a44dccd70fbefe41e65d2d36dbe0b23fa860b297bb88efc93dd933faa7,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:004,1,4,a1_agent_embedded,A1-Agent-Embedded*,A1 Agent,True,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,9b3343cc7c939710da94fe2787b196e5cd8912265878b2d2ccb677fb90eef0e1,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.23894055810166662,24,38,12,0.0,,,,,,,,,238.94055810166662,,,,True,True,,,76,,,12,,,38,,,,532,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:004,1,4,cspf,CSPF,CSPF,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,9b3343cc7c939710da94fe2787b196e5cd8912265878b2d2ccb677fb90eef0e1,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.11505179656166672,24,38,12,0.0,,,,,,,,,115.05179656166672,,,,True,True,,,76,,,12,,,38,,,,324,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:004,1,4,proposed,Proposed,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,9b3343cc7c939710da94fe2787b196e5cd8912265878b2d2ccb677fb90eef0e1,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.02697642802500002,24,38,12,0.0,,,,,,,,,26.97642802500002,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
exp1,paper,exp1:state_churn:0:seed:0001:event:004,1,4,proposed_without_batch,Proposed w/o Batch,This work,False,e05ff6d55c16d2062759ff39c121f7602dd22acd2cc0044de19304a6995946d6,ca98494881c002853db474ba73e035f84c595c166051d2bdea5e68f26d9666ce,773f60be42d2d2c0f2e64552c3eee989d23637a9e3b50bbd45ed7f81addc6eda,9b3343cc7c939710da94fe2787b196e5cd8912265878b2d2ccb677fb90eef0e1,state_churn,discrete_event_transactionally_verified_control_plane_simulation,0.0,,0.05442703993833336,24,38,12,0.0,,,,,,,,,54.42703993833336,,,,True,True,,,76,,,12,,,38,,,,184,184032,0,False
